StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count
20768,55,176,3.2,2152
20769,34,80,2.3529411764705883,1984
20770,72,184,2.5555555555555554,2629
20771,40,102,2.55,2151
20772,65,247,3.8,2411
20773,23,56,2.4347826086956523,963
20774,44,86,1.9545454545454546,1888
20775,63,134,2.126984126984127,2580
20777,80,169,2.1125,2643
20778,8,15,1.875,369
20780,28,47,1.6785714285714286,2051
20781,25,35,1.4,1554
20782,27,53,1.962962962962963,2147
20785,5,14,2.8,223
20793,4,8,2.0,109
20794,27,99,3.6666666666666665,2115
20795,11,49,4.454545454545454,1237
20796,9,62,6.888888888888889,1371
20798,5,36,7.2,250
20801,81,1013,12.506172839506172,2101
20802,63,739,11.73015873015873,2000
20803,40,939,23.475,1629
20816,2,8,4.0,29
20818,5,15,3.0,978
20819,27,64,2.3703703703703702,2108
20820,2,5,2.5,92
20821,6,17,2.8333333333333335,128
20823,8,164,20.5,178
20826,8,276,34.5,220
20827,2,88,44.0,64
20828,241,1128,4.680497925311204,2954
20829,194,1314,6.77319587628866,2804
20830,37,136,3.675675675675676,1981
20831,39,216,5.538461538461538,1838
20832,82,1067,13.012195121951219,2420
20835,8,67,8.375,693
20836,17,170,10.0,445
20837,15,141,9.4,594
20838,57,385,6.754385964912281,2216
20839,105,575,5.476190476190476,2741
20840,74,533,7.202702702702703,2433
20845,11,19,1.7272727272727273,379
20846,88,716,8.136363636363637,2654
20847,18,52,2.888888888888889,1620
20848,8,21,2.625,483
20851,7,9,1.2857142857142858,240
20854,41,242,5.902439024390244,1911
20856,61,216,3.540983606557377,2333
20857,8,32,4.0,324
20860,1,1,1.0,15
20861,2,2,1.0,128
20866,90,597,6.633333333333334,2804
20867,62,331,5.338709677419355,2507
20868,46,458,9.956521739130435,2225
20869,29,180,6.206896551724138,1987
20871,1,2,2.0,56
20878,7,24,3.4285714285714284,355
20886,103,485,4.70873786407767,2226
20892,3,4,1.3333333333333333,684
20893,26,268,10.307692307692308,1615
20894,15,33,2.2,989
20897,24,107,4.458333333333333,1937
20898,13,38,2.923076923076923,1318
20901,15,19,1.2666666666666666,1355
20902,56,112,2.0,2449
20903,56,82,1.4642857142857142,2313
20906,2,3,1.5,165
20910,3,8,2.6666666666666665,119
20914,880,6361,7.228409090909091,3333
20931,68,299,4.397058823529412,2641
20932,35,204,5.828571428571428,2150
20933,9,23,2.5555555555555554,493
20934,32,68,2.125,1504
20935,4,6,1.5,199
20936,34,100,2.9411764705882355,2074
20941,19,64,3.3684210526315788,662
20954,2,2,1.0,764
20956,101,822,8.138613861386139,2867
20960,10,29,2.9,214
20961,228,1232,5.4035087719298245,3133
20963,229,1336,5.834061135371179,3151
20964,1,2,2.0,49
20966,97,719,7.412371134020619,2274
20967,83,265,3.1927710843373496,1861
20969,305,1960,6.426229508196721,2998
20970,262,1116,4.259541984732825,2807
20971,522,10993,21.059386973180075,3200
20972,616,7337,11.910714285714286,3227
20973,355,4497,12.667605633802816,3175
20974,355,6976,19.65070422535211,3009
20975,362,6633,18.323204419889503,3055
20977,185,1739,9.4,2579
20978,263,1795,6.82509505703422,3029
20979,325,3734,11.489230769230769,3011
20980,20,79,3.95,1356
20981,249,1974,7.927710843373494,2762
20982,256,2151,8.40234375,2804
20983,268,2737,10.212686567164178,2741
20984,170,3785,22.264705882352942,2021
20985,131,1179,9.0,2922
20986,113,654,5.787610619469026,2763
20992,277,4425,15.974729241877256,2906
20996,225,3191,14.182222222222222,2930
20997,34,59,1.7352941176470589,2337
20998,69,185,2.681159420289855,2469
21000,52,96,1.8461538461538463,2693
21001,50,73,1.46,2649
21002,66,125,1.893939393939394,2384
21003,46,78,1.6956521739130435,2337
21009,1,1,1.0,21
21011,3,20,6.666666666666667,131
21012,199,1169,5.874371859296482,3092
21014,119,1385,11.638655462184873,2831
21015,142,1483,10.443661971830986,2978
21018,6,24,4.0,265
21025,56,174,3.107142857142857,2615
21026,68,255,3.75,2736
21027,42,167,3.9761904761904763,1992
21028,58,187,3.2241379310344827,2565
21030,33,131,3.9696969696969697,1851
21031,19,52,2.736842105263158,1743
21032,30,97,3.2333333333333334,2110
21033,300,1932,6.44,2863
21034,871,1878,2.156142365097589,3050
21035,394,2599,6.596446700507614,3200
21038,23,77,3.347826086956522,704
21039,90,523,5.811111111111111,2287
21040,8,22,2.75,428
21041,255,914,3.5843137254901962,2852
21042,131,334,2.549618320610687,2429
21043,90,492,5.466666666666667,2205
21051,51,192,3.764705882352941,2118
21054,29,70,2.413793103448276,942
21055,105,178,1.6952380952380952,2634
21056,72,184,2.5555555555555554,2023
21058,122,1154,9.459016393442623,2703
21059,94,611,6.5,2358
21060,71,405,5.704225352112676,2381
21061,83,488,5.879518072289157,2163
21062,74,538,7.27027027027027,2010
21063,102,528,5.176470588235294,2465
21064,101,296,2.9306930693069306,2690
21065,90,562,6.2444444444444445,2780
21066,54,702,13.0,2175
21067,76,317,4.171052631578948,2411
21068,198,1638,8.272727272727273,2941
21069,86,1949,22.662790697674417,2369
21070,107,1106,10.336448598130842,2695
21071,177,991,5.598870056497175,2954
21078,313,2769,8.84664536741214,2921
21080,986,13202,13.389452332657202,3372
21082,25,88,3.52,190
21084,181,2610,14.41988950276243,2786
21086,428,7121,16.63785046728972,3042
21087,16,141,8.8125,971
21088,103,1678,16.29126213592233,2414
21089,25,233,9.32,725
21090,217,2413,11.119815668202765,2962
21094,527,8758,16.618595825426944,3168
21095,14,125,8.928571428571429,698
21096,105,1259,11.99047619047619,2517
21098,248,3719,14.995967741935484,3130
21100,27,65,2.4074074074074074,615
21106,53,237,4.471698113207547,2325
21107,97,901,9.288659793814434,2706
21108,262,10241,39.087786259541986,3091
21109,112,936,8.357142857142858,2673
21110,134,1105,8.246268656716419,2674
21111,94,900,9.574468085106384,2651
21112,82,1359,16.573170731707318,2581
21114,138,1341,9.717391304347826,2455
21115,162,562,3.4691358024691357,2677
21116,251,695,2.768924302788845,3058
21117,14,109,7.785714285714286,454
21120,1,1,1.0,647
21121,379,6606,17.430079155672825,2940
21122,344,5325,15.479651162790697,3010
21123,154,1143,7.422077922077922,2824
21124,240,4011,16.7125,2579
21125,103,657,6.378640776699029,2680
21126,126,592,4.698412698412699,2821
21128,36,68,1.8888888888888888,2246
21129,27,52,1.9259259259259258,1527
21131,28,106,3.7857142857142856,1912
21132,22,44,2.0,1464
21135,177,2869,16.2090395480226,2608
21136,370,4687,12.667567567567568,2837
21137,375,11651,31.069333333333333,3006
21143,36,327,9.083333333333334,1698
21144,2,5,2.5,164
21145,8,122,15.25,352
21147,76,203,2.6710526315789473,2796
21154,451,4034,8.944567627494457,3302
21155,485,3155,6.505154639175258,3005
21156,358,3170,8.854748603351956,2934
21157,34,78,2.2941176470588234,860
21158,170,1469,8.641176470588235,2888
21159,124,1126,9.080645161290322,2574
21160,1,1,1.0,56
21161,43,143,3.3255813953488373,1771
21162,162,1462,9.024691358024691,2796
21163,127,1196,9.417322834645669,2596
21164,282,1766,6.26241134751773,3073
21165,449,4154,9.251670378619155,3309
21166,723,10324,14.279391424619641,3344
21167,67,1432,21.37313432835821,2618
21169,450,4413,9.806666666666667,3145
21171,73,438,6.0,2131
21172,467,3485,7.462526766595289,3081
21174,538,4175,7.760223048327138,3360
21175,809,12207,15.088998763906057,3396
21179,266,1940,7.293233082706767,2864
21181,845,12274,14.52544378698225,3362
21186,1,2,2.0,56
21187,48,369,7.6875,2007
21188,50,326,6.52,1944
21189,72,355,4.930555555555555,2713
21190,7,168,24.0,229
21191,95,562,5.91578947368421,2825
21192,88,1092,12.409090909090908,2711
21194,65,498,7.661538461538462,2231
21195,80,693,8.6625,2356
21196,13,108,8.307692307692308,887
21197,27,284,10.518518518518519,2050
21198,71,1028,14.47887323943662,2149
21199,78,966,12.384615384615385,2279
21200,75,1119,14.92,2495
21201,101,1240,12.277227722772277,2506
21202,25,474,18.96,925
21204,85,499,5.870588235294117,2504
21205,68,253,3.7205882352941178,2185
21206,109,1290,11.8348623853211,2479
21207,132,1067,8.083333333333334,2736
21208,83,940,11.325301204819278,2277
21209,89,1224,13.752808988764045,2391
21210,453,5808,12.821192052980132,3173
21211,103,883,8.572815533980583,2426
21212,1320,36396,27.572727272727274,3438
21213,663,15169,22.879336349924586,3267
21215,124,1087,8.766129032258064,2602
21216,430,2128,4.948837209302326,3137
21217,344,1088,3.1627906976744184,3003
21218,394,2433,6.175126903553299,3032
21219,89,448,5.033707865168539,2764
21220,89,338,3.797752808988764,2862
21221,54,261,4.833333333333333,2506
21222,73,265,3.6301369863013697,2711
21224,165,914,5.539393939393939,2996
21226,20,93,4.65,1666
21228,2,5,2.5,92
21231,509,6054,11.893909626719058,3252
21232,831,11842,14.250300842358604,3436
21238,387,3969,10.255813953488373,2895
21239,307,3016,9.824104234527688,2858
21240,325,3570,10.984615384615385,2788
21242,304,3373,11.095394736842104,2813
21243,210,2285,10.880952380952381,2515
21244,196,2282,11.642857142857142,2201
21245,128,1075,8.3984375,2371
21246,96,286,2.9791666666666665,2343
21248,66,205,3.106060606060606,2383
21249,119,724,6.084033613445378,2822
21250,20,95,4.75,1225
21251,46,182,3.9565217391304346,2084
21253,62,134,2.161290322580645,2410
21257,261,688,2.636015325670498,2989
21258,163,532,3.263803680981595,2968
21259,285,1179,4.136842105263158,2863
21260,166,1161,6.993975903614458,2582
21261,45,187,4.155555555555556,2230
21262,78,332,4.256410256410256,2530
21263,42,167,3.9761904761904763,1893
21264,48,283,5.895833333333333,1890
21265,19,131,6.894736842105263,1186
21268,1,2,2.0,95
21269,19,29,1.5263157894736843,1089
21270,36,50,1.3888888888888888,1865
21272,103,548,5.320388349514563,2473
21275,12,13,1.0833333333333333,1025
21277,22,26,1.1818181818181819,762
21278,7,31,4.428571428571429,371
21279,29,85,2.9310344827586206,2084
21280,12,65,5.416666666666667,514
21281,14,43,3.0714285714285716,1578
21284,42,403,9.595238095238095,2247
21285,43,365,8.488372093023257,2040
21286,30,273,9.1,2130
21287,55,1790,32.54545454545455,1343
21288,110,355,3.227272727272727,2903
21289,49,567,11.571428571428571,2205
21291,52,943,18.134615384615383,2048
21292,28,867,30.964285714285715,938
21293,24,116,4.833333333333333,1874
21294,71,1618,22.788732394366196,1908
21306,44,494,11.227272727272727,1884
21307,13,79,6.076923076923077,514
21310,1,1,1.0,1
21311,51,459,9.0,1609
21313,214,3321,15.518691588785046,3072
21314,541,4246,7.848428835489834,3285
21316,15,159,10.6,1253
21317,34,111,3.264705882352941,1791
21318,49,694,14.16326530612245,1723
21319,19,161,8.473684210526315,1469
21320,19,197,10.368421052631579,1117
21324,28,81,2.892857142857143,1449
21326,340,10535,30.985294117647058,3028
21327,252,864,3.4285714285714284,3030
21328,346,1337,3.8641618497109826,3254
21329,287,941,3.278745644599303,3074
21331,8,12,1.5,696
21332,13,19,1.4615384615384615,794
21333,16,56,3.5,835
21336,10,27,2.7,1148
21340,290,975,3.3620689655172415,2773
21344,6,15,2.5,319
21348,6,140,23.333333333333332,452
21349,11,18,1.6363636363636365,1176
21351,34,104,3.0588235294117645,1457
21352,77,378,4.909090909090909,2654
21354,95,799,8.410526315789474,2432
21355,120,789,6.575,2425
21356,151,642,4.251655629139073,3033
21357,10,19,1.9,456
21358,108,411,3.8055555555555554,2753
21359,29,129,4.448275862068965,1190
21360,16,39,2.4375,673
21361,69,106,1.536231884057971,1938
21363,125,243,1.944,2252
21364,24,30,1.25,1154
21365,52,363,6.980769230769231,1991
21366,46,89,1.934782608695652,2561
21367,43,171,3.9767441860465116,2112
21368,33,163,4.9393939393939394,1278
21369,16,101,6.3125,1179
21370,9,16,1.7777777777777777,1209
21371,38,287,7.552631578947368,1514
21372,33,75,2.272727272727273,1799
21373,47,512,10.893617021276595,1039
21374,46,304,6.608695652173913,1640
21375,27,41,1.5185185185185186,1994
21376,17,33,1.9411764705882353,1403
21377,41,121,2.951219512195122,2471
21378,34,142,4.176470588235294,2330
21379,50,178,3.56,2595
21380,290,2165,7.4655172413793105,2877
21381,224,1811,8.084821428571429,2999
21382,128,1143,8.9296875,2578
21383,167,991,5.934131736526946,2988
21385,317,3883,12.249211356466876,3174
21386,51,709,13.901960784313726,1546
21389,128,1113,8.6953125,2606
21390,212,3903,18.410377358490567,2844
21391,106,1069,10.084905660377359,2491
21392,7,34,4.857142857142857,594
21393,7,29,4.142857142857143,393
21394,131,3865,29.50381679389313,2190
21395,90,2838,31.533333333333335,1812
21397,65,1075,16.53846153846154,1928
21398,63,1532,24.317460317460316,1957
21399,71,2054,28.929577464788732,1564
21400,72,881,12.23611111111111,2564
21401,82,1052,12.829268292682928,2593
21402,92,1369,14.880434782608695,2628
21403,106,1857,17.5188679245283,2748
21407,138,290,2.101449275362319,2858
21408,117,285,2.4358974358974357,2891
21410,1,1,1.0,78
21411,241,785,3.2572614107883817,2771
21413,17,48,2.823529411764706,1634
21414,1,1,1.0,77
21415,46,219,4.760869565217392,2154
21416,4,5,1.25,248
21417,68,340,5.0,2668
21418,25,74,2.96,1732
21420,19,53,2.789473684210526,1263
21421,14,299,21.357142857142858,701
21422,63,1607,25.50793650793651,2132
21424,70,346,4.942857142857143,1265
21425,30,87,2.9,1124
21426,46,256,5.565217391304348,1183
21427,41,96,2.341463414634146,1148
21428,262,1207,4.606870229007634,2911
21429,286,1740,6.083916083916084,3165
21430,477,3034,6.360587002096436,3066
21439,130,1430,11.0,2898
21441,62,421,6.790322580645161,2368
21442,59,437,7.406779661016949,2349
21445,21,214,10.19047619047619,923
21446,105,449,4.276190476190476,2881
21447,148,969,6.547297297297297,2647
21448,77,344,4.467532467532467,2242
21452,184,817,4.440217391304348,2812
21454,136,572,4.205882352941177,2749
21455,117,612,5.230769230769231,2587
21456,25,171,6.84,1005
21457,25,124,4.96,1139
21458,36,182,5.055555555555555,1727
21459,19,76,4.0,741
21460,11,28,2.5454545454545454,654
21461,6,10,1.6666666666666667,619
21462,73,198,2.712328767123288,1739
21463,134,649,4.843283582089552,1586
21464,105,249,2.3714285714285714,1481
21465,79,237,3.0,2193
21466,112,304,2.7142857142857144,2449
21467,104,264,2.5384615384615383,2507
21468,66,148,2.242424242424242,2135
21469,89,290,3.258426966292135,2130
21470,140,381,2.7214285714285715,2700
21471,163,639,3.920245398773006,2893
21472,37,123,3.324324324324324,1201
21473,21,27,1.2857142857142858,542
21476,24,41,1.7083333333333333,738
21479,499,3915,7.845691382765531,3257
21481,490,3307,6.748979591836735,3246
21484,402,1871,4.654228855721393,3103
21485,623,3524,5.656500802568218,3246
21486,11,36,3.272727272727273,1560
21488,16,69,4.3125,1446
21491,1,1,1.0,15
21494,313,1928,6.159744408945687,3200
21495,165,5800,35.15151515151515,1793
21497,230,8550,37.17391304347826,2034
21498,336,10526,31.327380952380953,2278
21499,217,6927,31.921658986175114,2034
21500,213,6350,29.812206572769952,2082
21503,23,726,31.565217391304348,620
21504,115,1891,16.443478260869565,2591
21506,323,4922,15.238390092879257,3101
21507,262,3320,12.67175572519084,3077
21508,213,2478,11.633802816901408,2960
21509,274,3741,13.653284671532846,3026
21518,38,318,8.368421052631579,1909
21519,246,3299,13.410569105691057,2862
21520,58,504,8.689655172413794,2505
21523,502,3245,6.464143426294821,3180
21524,480,1752,3.65,3116
21527,144,477,3.3125,1846
21528,111,215,1.936936936936937,2616
21530,104,777,7.471153846153846,2556
21531,246,1516,6.162601626016261,2676
21533,339,1351,3.9852507374631267,2753
21534,155,370,2.3870967741935485,2764
21535,343,2487,7.2507288629737605,2720
21537,61,332,5.442622950819672,1883
21538,2,5,2.5,84
21539,238,969,4.071428571428571,2593
21544,174,1972,11.333333333333334,2947
21547,22,79,3.590909090909091,1550
21555,69,137,1.9855072463768115,2704
21556,114,977,8.570175438596491,2439
21557,162,551,3.4012345679012346,2911
21558,412,2131,5.172330097087379,3172
21559,573,3933,6.863874345549738,3277
21561,213,1281,6.014084507042254,2945
21562,28,324,11.571428571428571,1148
21563,159,1395,8.773584905660377,2736
21564,123,1042,8.471544715447154,2430
21576,78,252,3.230769230769231,2566
21577,175,720,4.114285714285714,2983
21578,127,746,5.874015748031496,2519
21579,50,176,3.52,2216
21580,62,181,2.9193548387096775,2408
21581,79,252,3.189873417721519,2617
21584,146,1059,7.2534246575342465,1965
21586,67,743,11.08955223880597,1187
21587,26,195,7.5,879
21588,132,1494,11.318181818181818,1817
21591,146,1374,9.41095890410959,2077
21592,216,2149,9.949074074074074,2365
21594,2,2,1.0,837
21595,2,2,1.0,944
21609,76,763,10.039473684210526,1509
21613,42,227,5.404761904761905,1093
21614,9,51,5.666666666666667,388
21615,135,891,6.6,2857
21616,138,822,5.956521739130435,2829
21617,102,525,5.147058823529412,2671
21618,91,404,4.43956043956044,2740
21619,164,974,5.939024390243903,2951
21620,165,881,5.33939393939394,2968
21621,475,2787,5.867368421052632,3002
21622,104,380,3.6538461538461537,2281
21623,221,3269,14.79185520361991,2605
21624,95,216,2.2736842105263158,2447
21625,169,407,2.408284023668639,3006
21626,99,794,8.02020202020202,2353
21627,47,63,1.3404255319148937,2059
21628,33,63,1.9090909090909092,2160
21629,42,71,1.6904761904761905,2142
21630,35,69,1.9714285714285715,1919
21631,27,169,6.2592592592592595,1389
21632,24,88,3.6666666666666665,1647
21633,42,125,2.9761904761904763,2164
21634,28,976,34.857142857142854,1420
21635,16,271,16.9375,635
21636,73,913,12.506849315068493,1726
21637,6,109,18.166666666666668,246
21638,40,247,6.175,2039
21640,78,650,8.333333333333334,2700
21641,49,1153,23.53061224489796,2278
21642,101,2471,24.465346534653467,2407
21643,60,550,9.166666666666666,2435
21644,32,215,6.71875,989
21647,25,107,4.28,792
21648,66,729,11.045454545454545,2752
21650,132,2550,19.318181818181817,2968
21651,11,127,11.545454545454545,737
21654,59,974,16.508474576271187,1838
21655,2,36,18.0,3
21656,47,219,4.659574468085107,1964
21657,17,30,1.7647058823529411,1162
21658,212,878,4.1415094339622645,2643
21661,3,3,1.0,297
21662,26,86,3.3076923076923075,1795
21664,18,98,5.444444444444445,563
21666,43,412,9.581395348837209,1774
21667,1,2,2.0,33
21668,437,5494,12.5720823798627,3028
21669,425,5252,12.35764705882353,3005
21670,374,4328,11.572192513368984,2902
21671,369,4402,11.929539295392955,2987
21672,409,4992,12.205378973105134,3001
21673,365,4372,11.978082191780821,2987
21675,110,628,5.709090909090909,2899
21676,61,257,4.213114754098361,2640
21677,119,835,7.016806722689076,2838
21678,32,125,3.90625,2316
21679,138,1140,8.26086956521739,2826
21680,103,868,8.427184466019417,2769
21681,2,2,1.0,36
21682,55,182,3.309090909090909,1596
21683,58,310,5.344827586206897,1968
21684,47,771,16.404255319148938,2179
21686,20,35,1.75,744
21688,57,348,6.105263157894737,2163
21689,26,95,3.6538461538461537,934
21690,7,22,3.142857142857143,256
21692,7,17,2.4285714285714284,241
21693,50,361,7.22,1922
21694,24,307,12.791666666666666,1113
21695,41,284,6.926829268292683,1741
21696,33,224,6.787878787878788,1421
21698,45,296,6.5777777777777775,2586
21700,198,1726,8.717171717171718,2481
21703,294,9390,31.93877551020408,3054
21704,248,5144,20.741935483870968,3014
21705,141,1459,10.347517730496454,2822
21706,120,346,2.8833333333333333,2696
21707,74,160,2.1621621621621623,2481
21708,64,190,2.96875,2472
21709,59,133,2.2542372881355934,2393
21710,45,107,2.3777777777777778,2222
21711,36,104,2.888888888888889,2056
21713,157,786,5.006369426751593,2697
21714,225,1651,7.337777777777778,2791
21715,231,1330,5.757575757575758,2970
21716,244,1425,5.840163934426229,3034
21717,41,408,9.951219512195122,1508
21718,229,1493,6.5196506550218345,3005
21719,58,345,5.948275862068965,2464
21720,8,57,7.125,284
21721,33,195,5.909090909090909,2058
21722,36,98,2.7222222222222223,2494
21723,59,397,6.728813559322034,2548
21724,81,408,5.037037037037037,2654
21725,50,301,6.02,2288
21726,42,237,5.642857142857143,1752
21730,131,517,3.946564885496183,2582
21731,849,14001,16.491166077738516,3396
21733,741,7872,10.623481781376519,3275
21735,83,212,2.5542168674698793,1311
21736,5,80,16.0,173
21738,21,46,2.1904761904761907,1441
21739,111,254,2.2882882882882885,2674
21741,40,147,3.675,2015
21742,91,194,2.131868131868132,2003
21743,49,299,6.1020408163265305,2169
21744,127,529,4.165354330708661,2664
21745,214,935,4.369158878504673,2477
21746,226,3075,13.606194690265486,2732
21747,54,485,8.981481481481481,2040
21749,140,1963,14.021428571428572,2548
21750,24,90,3.75,1568
21754,777,2759,3.550836550836551,3296
21755,629,2011,3.1971383147853736,3202
21756,270,809,2.9962962962962965,2796
21757,3,6,2.0,134
21758,32,50,1.5625,2270
21761,10,10,1.0,353
21763,4,6,1.5,207
