StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster_name,recommended_zone,distance_from_packing,picking_priority,current_distance,distance_saved,recommended_distance
84380,688,5799,8.355907780979827,3356,High-Volume Products,Zone A,10.0,2309616,60,50.0,10.0
21930,705,6438,9.016806722689076,3272,High-Volume Products,Zone A,10.0,2307465,60,50.0,10.0
22467,681,7926,11.503628447024674,3367,High-Volume Products,Zone A,10.0,2293608,60,50.0,10.0
20685,696,4088,5.865136298421808,3254,High-Volume Products,Zone A,10.0,2265480,60,50.0,10.0
22966,670,7440,10.909090909090908,3343,High-Volume Products,Zone A,10.0,2240480,60,50.0,10.0
85152,677,8246,12.144329896907216,3270,High-Volume Products,Zone A,10.0,2214467,60,50.0,10.0
22907,670,6573,9.498554913294798,3304,High-Volume Products,Zone A,10.0,2214350,60,50.0,10.0
23355,782,5816,7.306532663316583,2830,High-Volume Products,Zone A,10.0,2213842,60,50.0,10.0
23207,740,7830,10.357142857142858,2989,High-Volume Products,Zone A,10.0,2212600,60,50.0,10.0
22385,686,8666,12.523121387283236,3218,High-Volume Products,Zone A,10.0,2208234,60,50.0,10.0
82484,685,6012,8.776642335766423,3213,High-Volume Products,Zone A,10.0,2201590,60,50.0,10.0
22662,682,6706,9.718840579710143,3218,High-Volume Products,Zone A,10.0,2195358,60,50.0,10.0
22551,673,8074,11.856093979441996,3256,High-Volume Products,Zone A,10.0,2191961,60,50.0,10.0
79321,661,10302,15.44527736131934,3313,High-Volume Products,Zone A,10.0,2190554,60,50.0,10.0
23284,728,5487,7.495901639344262,3007,High-Volume Products,Zone A,10.0,2189824,60,50.0,10.0
21213,663,15169,22.60655737704918,3267,High-Volume Products,Zone A,10.0,2166684,60,50.0,10.0
82580,631,5881,9.27602523659306,3428,High-Volume Products,Zone A,10.0,2163699,60,50.0,10.0
22835,657,3441,5.197885196374623,3287,High-Volume Products,Zone A,10.0,2160216,60,50.0,10.0
20713,657,11429,17.264350453172206,3276,High-Volume Products,Zone A,10.0,2152989,60,50.0,10.0
22969,646,12520,19.38080495356037,3305,High-Volume Products,Zone A,10.0,2135676,60,50.0,10.0
21915,661,21903,32.98644578313253,3214,High-Volume Products,Zone A,10.0,2125115,60,50.0,10.0
23344,716,10285,14.245152354570637,2962,High-Volume Products,Zone A,10.0,2121508,60,50.0,10.0
22865,654,8439,12.67117117117117,3189,High-Volume Products,Zone A,10.0,2086260,60,50.0,10.0
84992,615,13319,21.141269841269843,3340,High-Volume Products,Zone A,10.0,2054715,60,50.0,10.0
22114,643,5740,8.885448916408668,3173,High-Volume Products,Zone A,10.0,2040882,60,50.0,10.0
22083,610,4616,7.554828150572831,3316,High-Volume Products,Zone A,10.0,2023370,60,50.0,10.0
21485,623,3524,5.50625,3246,High-Volume Products,Zone A,10.0,2022881,60,50.0,10.0
22952,619,16056,25.364928909952607,3257,High-Volume Products,Zone A,10.0,2016702,60,50.0,10.0
22417,520,8420,15.977229601518026,3156,High-Volume Products,Zone A,10.0,1641640,60,50.0,10.0
21791,607,7864,12.870703764320783,3309,High-Volume Products,Zone A,10.0,2009170,60,50.0,10.0
82583,609,7258,11.687600644122384,3285,High-Volume Products,Zone A,10.0,2001174,60,50.0,10.0
22621,609,6148,9.932148626817447,3282,High-Volume Products,Zone A,10.0,1999347,60,50.0,10.0
20972,616,7337,11.795819935691318,3227,High-Volume Products,Zone A,10.0,1988448,60,50.0,10.0
84755,621,16401,26.368167202572348,3191,High-Volume Products,Zone A,10.0,1982232,60,50.0,10.0
22909,610,8976,14.384615384615383,3227,High-Volume Products,Zone A,10.0,1969080,60,50.0,10.0
84692,583,7903,13.394915254237288,3356,High-Volume Products,Zone A,10.0,1957131,60,50.0,10.0
23208,668,6308,9.317577548005907,2923,High-Volume Products,Zone A,10.0,1953232,60,50.0,10.0
21889,587,6390,10.667779632721205,3317,High-Volume Products,Zone A,10.0,1947666,60,50.0,10.0
21975,601,12312,20.01951219512195,3228,High-Volume Products,Zone A,10.0,1940629,60,50.0,10.0
21914,603,7876,12.911475409836063,3196,High-Volume Products,Zone A,10.0,1927791,60,50.0,10.0
23307,629,12049,18.797191887675503,3013,High-Volume Products,Zone A,10.0,1895806,60,50.0,10.0
20718,575,4769,8.250865051903114,3293,High-Volume Products,Zone A,10.0,1894050,60,50.0,10.0
48138,616,3751,6.06957928802589,3070,High-Volume Products,Zone A,10.0,1891736,60,50.0,10.0
22489,443,9719,21.791479820627803,3209,High-Volume Products,Zone A,10.0,1422030,60,50.0,10.0
23166,247,78033,312.132,2784,High-Volume Products,Zone A,10.0,687895,60,50.0,10.0
22557,566,4712,8.180555555555555,3296,High-Volume Products,Zone A,10.0,1866102,60,50.0,10.0
22951,437,7481,16.925339366515836,3251,High-Volume Products,Zone A,10.0,1421124,60,50.0,10.0
21985,427,8775,20.454545454545453,3207,High-Volume Products,Zone A,10.0,1369816,60,50.0,10.0
23293,552,8471,15.290613718411551,2926,High-Volume Products,Zone A,10.0,1615704,60,50.0,10.0
22555,515,6010,11.469465648854962,3104,High-Volume Products,Zone A,10.0,1599075,60,50.0,10.0
23321,629,4716,7.3229813664596275,2918,High-Volume Products,Zone A,10.0,1836051,60,50.0,10.0
22328,581,6835,11.683760683760685,3133,High-Volume Products,Zone A,10.0,1820854,60,50.0,10.0
84347,449,9461,20.39008620689655,3261,High-Volume Products,Zone A,10.0,1464638,60,50.0,10.0
22867,554,6433,11.467023172905526,3240,High-Volume Products,Zone A,10.0,1795514,60,50.0,10.0
23200,595,7067,11.81772575250836,3004,High-Volume Products,Zone A,10.0,1787975,60,50.0,10.0
21498,336,10526,31.327380952380956,2278,High-Volume Products,Zone A,10.0,765744,60,50.0,10.0
22492,380,26633,70.08684210526316,2917,High-Volume Products,Zone A,10.0,1108840,60,50.0,10.0
84945,347,10545,29.957386363636363,3032,High-Volume Products,Zone A,10.0,1052451,60,50.0,10.0
22556,571,6113,10.594454072790295,3106,High-Volume Products,Zone A,10.0,1774097,60,50.0,10.0
22578,512,10460,19.73584905660377,3075,High-Volume Products,Zone A,10.0,1574912,60,50.0,10.0
21137,375,11651,30.986702127659573,3006,High-Volume Products,Zone A,10.0,1127625,60,50.0,10.0
22693,305,16244,53.25901639344262,2915,High-Volume Products,Zone A,10.0,889380,60,50.0,10.0
84970S,537,8879,16.534450651769088,3270,High-Volume Products,Zone A,10.0,1756527,60,50.0,10.0
21891,425,8130,18.819444444444443,3192,High-Volume Products,Zone A,10.0,1357025,60,50.0,10.0
82600,545,6013,10.95264116575592,3195,High-Volume Products,Zone A,10.0,1741820,60,50.0,10.0
22988,418,9073,21.5,3235,High-Volume Products,Zone A,10.0,1352648,60,50.0,10.0
22866,548,6611,11.763345195729537,3167,High-Volume Products,Zone A,10.0,1736064,60,50.0,10.0
23204,583,7976,13.610921501706486,2974,High-Volume Products,Zone A,10.0,1734425,60,50.0,10.0
22151,332,15126,44.61946902654867,2975,High-Volume Products,Zone A,10.0,988032,60,50.0,10.0
22149,547,6070,10.976491862567812,3157,High-Volume Products,Zone A,10.0,1727426,60,50.0,10.0
23077,344,10395,30.218023255813957,2816,High-Volume Products,Zone A,10.0,969048,60,50.0,10.0
22029,527,8161,15.456439393939394,3246,High-Volume Products,Zone A,10.0,1711169,60,50.0,10.0
85099B,2089,48371,22.93551446183025,3513,High-Volume Products,Zone A,10.0,7340746,60,50.0,10.0
22423,1988,13851,6.901345291479821,3537,High-Volume Products,Zone A,10.0,7033544,60,50.0,10.0
47566,1685,18283,10.761035903472632,3480,High-Volume Products,Zone A,10.0,5865485,60,50.0,10.0
20725,1565,19432,12.283185840707963,3469,High-Volume Products,Zone A,10.0,5430550,60,50.0,10.0
22197,1392,56898,40.12552891396333,3545,High-Volume Products,Zone A,10.0,4936032,60,50.0,10.0
84879,1455,36362,24.63550135501355,3351,High-Volume Products,Zone A,10.0,4877160,60,50.0,10.0
22720,1385,7483,5.375718390804598,3432,High-Volume Products,Zone A,10.0,4754705,60,50.0,10.0
21212,1320,36396,26.920118343195263,3438,High-Volume Products,Zone A,10.0,4539480,60,50.0,10.0
22383,1285,12518,9.58499234303216,3452,High-Volume Products,Zone A,10.0,4437105,60,50.0,10.0
22457,1249,9119,7.266135458167331,3508,High-Volume Products,Zone A,10.0,4382741,60,50.0,10.0
20727,1273,12195,9.373558800922368,3438,High-Volume Products,Zone A,10.0,4377847,60,50.0,10.0
22469,1201,17963,14.735849056603774,3522,High-Volume Products,Zone A,10.0,4231123,60,50.0,10.0
21931,1184,13651,11.432998324958124,3472,High-Volume Products,Zone A,10.0,4112032,60,50.0,10.0
22386,1218,21448,17.40909090909091,3354,High-Volume Products,Zone A,10.0,4086390,60,50.0,10.0
22961,1162,16396,14.085910652920962,3475,High-Volume Products,Zone A,10.0,4039112,60,50.0,10.0
22411,1175,12574,10.655932203389831,3428,High-Volume Products,Zone A,10.0,4029075,60,50.0,10.0
21755,629,2011,3.17192429022082,3202,Active/Regular Products,Zone B,25.0,2014687,60,35.0,25.0
21559,573,3933,6.769363166953529,3277,Active/Regular Products,Zone B,25.0,1878294,60,35.0,25.0
48194,592,3416,5.760539629005059,3162,Active/Regular Products,Zone B,25.0,1872496,60,35.0,25.0
22553,560,4242,7.442105263157894,3312,Active/Regular Products,Zone B,25.0,1855280,60,35.0,25.0
22219,544,4133,7.47377938517179,3407,Active/Regular Products,Zone B,25.0,1853952,60,35.0,25.0
82486,605,2136,3.5073891625615765,3057,Active/Regular Products,Zone B,25.0,1850090,60,35.0,25.0
48187,600,3807,6.323920265780731,3060,Active/Regular Products,Zone B,25.0,1836600,60,35.0,25.0
21174,538,4175,7.674632352941177,3360,Active/Regular Products,Zone B,25.0,1808218,60,35.0,25.0
22730,570,2885,5.043706293706293,3122,Active/Regular Products,Zone B,25.0,1780110,60,35.0,25.0
21935,530,3393,6.389830508474576,3354,Active/Regular Products,Zone B,25.0,1778150,60,35.0,25.0
21314,541,4246,7.833948339483395,3285,Active/Regular Products,Zone B,25.0,1777726,60,35.0,25.0
22625,546,1620,2.967032967032967,3237,Active/Regular Products,Zone B,25.0,1767948,60,35.0,25.0
22144,544,4073,7.365280289330922,3238,Active/Regular Products,Zone B,25.0,1762016,60,35.0,25.0
22367,550,3749,6.779385171790235,3202,Active/Regular Products,Zone B,25.0,1761650,60,35.0,25.0
22113,561,3220,5.5326460481099655,3115,Active/Regular Products,Zone B,25.0,1748076,60,35.0,25.0
22900,533,4907,9.03683241252302,3257,Active/Regular Products,Zone B,25.0,1736514,60,35.0,25.0
84596B,522,5023,9.495274102079396,3319,Active/Regular Products,Zone B,25.0,1733040,60,35.0,25.0
84375,517,4311,8.27447216890595,3311,Active/Regular Products,Zone B,25.0,1712304,60,35.0,25.0
84988,510,4311,8.436399217221135,3301,Active/Regular Products,Zone B,25.0,1684020,60,35.0,25.0
21936,531,3985,7.4906015037593985,3160,Active/Regular Products,Zone B,25.0,1678491,60,35.0,25.0
21843,539,2012,3.719038817005545,3111,Active/Regular Products,Zone B,25.0,1677368,60,35.0,25.0
20711,522,5007,9.55534351145038,3169,Active/Regular Products,Zone B,25.0,1654740,60,35.0,25.0
82483,543,2386,4.3699633699633695,3045,Active/Regular Products,Zone B,25.0,1653978,60,35.0,25.0
22776,536,1244,2.3165735567970205,3068,Active/Regular Products,Zone B,25.0,1644984,60,35.0,25.0
22173,493,2444,4.907630522088353,3310,Active/Regular Products,Zone B,25.0,1632323,60,35.0,25.0
85066,519,1784,3.404580152671756,3144,Active/Regular Products,Zone B,25.0,1632255,60,35.0,25.0
21479,499,3915,7.676470588235294,3257,Active/Regular Products,Zone B,25.0,1625742,60,35.0,25.0
23322,562,3069,5.365384615384615,2886,Active/Regular Products,Zone B,25.0,1622494,60,35.0,25.0
22766,504,3267,6.431102362204724,3168,Active/Regular Products,Zone B,25.0,1597176,60,35.0,25.0
21523,502,3245,6.464143426294821,3180,Active/Regular Products,Zone B,25.0,1596862,60,35.0,25.0
21481,490,3307,6.614,3246,Active/Regular Products,Zone B,25.0,1591030,60,35.0,25.0
22620,483,4889,9.977551020408164,3266,Active/Regular Products,Zone B,25.0,1577961,60,35.0,25.0
22196,472,2847,5.943632567849686,3332,Active/Regular Products,Zone B,25.0,1573176,60,35.0,25.0
85150,478,4037,8.427974947807932,3250,Active/Regular Products,Zone B,25.0,1553978,60,35.0,25.0
22352,482,3088,6.380165289256198,3223,Active/Regular Products,Zone B,25.0,1553968,60,35.0,25.0
21908,468,3771,7.972515856236787,3313,Active/Regular Products,Zone B,25.0,1550952,60,35.0,25.0
23240,536,4177,7.6501831501831505,2851,Active/Regular Products,Zone B,25.0,1528672,60,35.0,25.0
22804,474,3131,6.522916666666666,3218,Active/Regular Products,Zone B,25.0,1525806,60,35.0,25.0
22147,481,6226,12.577777777777778,3128,Active/Regular Products,Zone B,25.0,1505049,60,35.0,25.0
21524,480,1752,3.6424116424116426,3116,Active/Regular Products,Zone B,25.0,1496160,60,35.0,25.0
22150,468,3021,6.40042372881356,3190,Active/Regular Products,Zone B,25.0,1493388,60,35.0,25.0
22427,506,2106,4.137524557956778,2949,Active/Regular Products,Zone B,25.0,1492700,60,35.0,25.0
21154,451,4034,8.807860262008735,3302,Active/Regular Products,Zone B,25.0,1489653,60,35.0,25.0
22456,476,1727,3.620545073375262,3126,Active/Regular Products,Zone B,25.0,1488452,60,35.0,25.0
21165,449,4154,9.12967032967033,3309,Active/Regular Products,Zone B,25.0,1486190,60,35.0,25.0
84029G,459,3319,7.122317596566524,3217,Active/Regular Products,Zone B,25.0,1477062,60,35.0,25.0
84970L,457,6064,13.240174672489085,3214,Active/Regular Products,Zone B,25.0,1469255,60,35.0,25.0
21430,477,3034,6.334029227557411,3066,Active/Regular Products,Zone B,25.0,1462959,60,35.0,25.0
22381,469,3439,7.27061310782241,3118,Active/Regular Products,Zone B,25.0,1462811,60,35.0,25.0
21155,485,3155,6.425661914460285,3005,Active/Regular Products,Zone B,25.0,1457910,60,35.0,25.0
22568,470,3373,7.13107822410148,3099,Active/Regular Products,Zone B,25.0,1457000,60,35.0,25.0
22141,457,2791,6.015086206896552,3186,Active/Regular Products,Zone B,25.0,1456459,60,35.0,25.0
22507,459,2960,6.44880174291939,3167,Active/Regular Products,Zone B,25.0,1454112,60,35.0,25.0
15056N,456,3950,8.624454148471616,3161,Active/Regular Products,Zone B,25.0,1441872,60,35.0,25.0
22619,443,2480,5.560538116591928,3252,Active/Regular Products,Zone B,25.0,1441079,60,35.0,25.0
21172,467,3485,7.352320675105485,3081,Active/Regular Products,Zone B,25.0,1439294,60,35.0,25.0
21210,453,5808,12.821192052980132,3173,Active/Regular Products,Zone B,25.0,1437822,60,35.0,25.0
21992,436,1901,4.300904977375565,3283,Active/Regular Products,Zone B,25.0,1431824,60,35.0,25.0
22424,454,873,1.922907488986784,3143,Active/Regular Products,Zone B,25.0,1427376,60,35.0,25.0
21621,475,2787,5.74639175257732,3002,Active/Regular Products,Zone B,25.0,1426425,60,35.0,25.0
22983,443,5290,11.941309255079007,3209,Active/Regular Products,Zone B,25.0,1422030,60,35.0,25.0
84997D,473,5103,10.720588235294118,3004,Active/Regular Products,Zone B,25.0,1421365,60,35.0,25.0
22633,479,4851,9.839756592292089,2960,Active/Regular Products,Zone B,25.0,1418319,60,35.0,25.0
23198,475,3342,6.8907216494845365,2983,Active/Regular Products,Zone B,25.0,1417400,60,35.0,25.0
22663,450,3419,7.580931263858093,3148,Active/Regular Products,Zone B,25.0,1417050,60,35.0,25.0
84596F,435,3732,8.405405405405405,3254,Active/Regular Products,Zone B,25.0,1415925,60,35.0,25.0
21169,450,4413,9.677631578947368,3145,Active/Regular Products,Zone B,25.0,1415700,60,35.0,25.0
22771,441,6539,14.628635346756152,3200,Active/Regular Products,Zone B,25.0,1411641,60,35.0,25.0
20676,448,5023,11.137472283813748,3144,Active/Regular Products,Zone B,25.0,1408960,60,35.0,25.0
21993,425,1937,4.5362997658079625,3298,Active/Regular Products,Zone B,25.0,1402075,60,35.0,25.0
22749,449,2362,5.1798245614035086,3105,Active/Regular Products,Zone B,25.0,1394594,60,35.0,25.0
82582,437,4365,9.943052391799544,3189,Active/Regular Products,Zone B,25.0,1394030,60,35.0,25.0
21932,446,2720,6.044444444444444,3108,Active/Regular Products,Zone B,25.0,1386614,60,35.0,25.0
22748,436,2117,4.8223234624145785,3172,Active/Regular Products,Zone B,25.0,1383428,60,35.0,25.0
22652,467,5091,10.831914893617022,2956,Active/Regular Products,Zone B,25.0,1380919,60,35.0,25.0
22502,463,1937,4.156652360515022,2973,Active/Regular Products,Zone B,25.0,1376962,60,35.0,25.0
23343,476,6078,12.506172839506172,2890,Active/Regular Products,Zone B,25.0,1376116,60,35.0,25.0
23243,470,4800,10.19108280254777,2915,Active/Regular Products,Zone B,25.0,1370520,60,35.0,25.0
22617,464,2209,4.730192719486081,2946,Active/Regular Products,Zone B,25.0,1367408,60,35.0,25.0
22692,443,1522,3.435665914221219,3082,Active/Regular Products,Zone B,25.0,1365769,60,35.0,25.0
23182,433,3741,8.560640732265446,3148,Active/Regular Products,Zone B,25.0,1363517,60,35.0,25.0
22759,422,5435,12.63953488372093,3224,Active/Regular Products,Zone B,25.0,1360950,60,35.0,25.0
23205,467,5857,12.461702127659574,2911,Active/Regular Products,Zone B,25.0,1359904,60,35.0,25.0
47591D,439,3207,7.305239179954442,3080,Active/Regular Products,Zone B,25.0,1352559,60,35.0,25.0
22745,423,2021,4.755294117647058,3195,Active/Regular Products,Zone B,25.0,1351908,60,35.0,25.0
21216,430,2128,4.903225806451613,3137,Active/Regular Products,Zone B,25.0,1349340,60,35.0,25.0
21934,411,2421,5.87621359223301,3267,Active/Regular Products,Zone B,25.0,1343148,60,35.0,25.0
21892,412,3192,7.636363636363637,3256,Active/Regular Products,Zone B,25.0,1341884,60,35.0,25.0
20717,412,2855,6.84652278177458,3248,Active/Regular Products,Zone B,25.0,1338588,60,35.0,25.0
85049E,409,2860,6.891566265060241,3249,Active/Regular Products,Zone B,25.0,1329250,60,35.0,25.0
22667,464,2882,6.118895966029724,2859,Active/Regular Products,Zone B,25.0,1327040,60,35.0,25.0
22501,445,1602,3.6,2980,Active/Regular Products,Zone B,25.0,1326545,60,35.0,25.0
22193,460,1400,3.0434782608695654,2880,Active/Regular Products,Zone B,25.0,1325260,60,35.0,25.0
21668,437,5494,12.458049886621316,3028,Active/Regular Products,Zone B,25.0,1323673,60,35.0,25.0
22212,399,1609,3.982673267326733,3306,Active/Regular Products,Zone B,25.0,1319493,60,35.0,25.0
22725,428,1980,4.56221198156682,3071,Active/Regular Products,Zone B,25.0,1314816,60,35.0,25.0
