StockCode,cluster_name,recommended_zone,picking_priority,actual_distance_saved,business_recommendation
22379,High-Volume Products,Zone A,2502808,,Place closer to packing area due to high product movement.
22698,High-Volume Products,Zone A,2480895,,Place closer to packing area due to high product movement.
22356,High-Volume Products,Zone A,2479022,,Place closer to packing area due to high product movement.
POST,High-Volume Products,Zone A,2440042,,Place closer to packing area due to high product movement.
21733,High-Volume Products,Zone A,2427516,,Place closer to packing area due to high product movement.
21166,High-Volume Products,Zone A,2418435,,Place closer to packing area due to high product movement.
20723,High-Volume Products,Zone A,2397762,,Place closer to packing area due to high product movement.
23300,High-Volume Products,Zone A,2389216,,Place closer to packing area due to high product movement.
84978,High-Volume Products,Zone A,2388568,,Place closer to packing area due to high product movement.
22659,High-Volume Products,Zone A,2379762,,Place closer to packing area due to high product movement.
22326,High-Volume Products,Zone A,2343864,,Place closer to packing area due to high product movement.
84378,High-Volume Products,Zone A,2335850,,Place closer to packing area due to high product movement.
22554,High-Volume Products,Zone A,2317568,,Place closer to packing area due to high product movement.
DOT,Active/Regular Products,Zone B,2312150,,Keep in an easily accessible zone for regular picking.
22624,High-Volume Products,Zone A,2311461,,Place closer to packing area due to high product movement.
84380,High-Volume Products,Zone A,2309616,,Place closer to packing area due to high product movement.
21930,High-Volume Products,Zone A,2307465,,Place closer to packing area due to high product movement.
22467,High-Volume Products,Zone A,2293608,,Place closer to packing area due to high product movement.
20685,High-Volume Products,Zone A,2265480,,Place closer to packing area due to high product movement.
22966,High-Volume Products,Zone A,2240480,,Place closer to packing area due to high product movement.
85152,High-Volume Products,Zone A,2214467,,Place closer to packing area due to high product movement.
22907,High-Volume Products,Zone A,2214350,,Place closer to packing area due to high product movement.
23355,High-Volume Products,Zone A,2213842,,Place closer to packing area due to high product movement.
23207,High-Volume Products,Zone A,2212600,,Place closer to packing area due to high product movement.
22385,High-Volume Products,Zone A,2208234,,Place closer to packing area due to high product movement.
82484,High-Volume Products,Zone A,2201590,,Place closer to packing area due to high product movement.
22662,High-Volume Products,Zone A,2195358,,Place closer to packing area due to high product movement.
22551,High-Volume Products,Zone A,2191961,,Place closer to packing area due to high product movement.
79321,High-Volume Products,Zone A,2190554,,Place closer to packing area due to high product movement.
23284,High-Volume Products,Zone A,2189824,,Place closer to packing area due to high product movement.
21213,High-Volume Products,Zone A,2166684,,Place closer to packing area due to high product movement.
82580,High-Volume Products,Zone A,2163699,,Place closer to packing area due to high product movement.
22835,High-Volume Products,Zone A,2160216,,Place closer to packing area due to high product movement.
20713,High-Volume Products,Zone A,2152989,,Place closer to packing area due to high product movement.
22969,High-Volume Products,Zone A,2135676,,Place closer to packing area due to high product movement.
21915,High-Volume Products,Zone A,2125115,,Place closer to packing area due to high product movement.
23344,High-Volume Products,Zone A,2121508,,Place closer to packing area due to high product movement.
22865,High-Volume Products,Zone A,2086260,,Place closer to packing area due to high product movement.
84992,High-Volume Products,Zone A,2054715,,Place closer to packing area due to high product movement.
22114,High-Volume Products,Zone A,2040882,,Place closer to packing area due to high product movement.
22083,High-Volume Products,Zone A,2023370,,Place closer to packing area due to high product movement.
21485,High-Volume Products,Zone A,2022881,,Place closer to packing area due to high product movement.
22952,High-Volume Products,Zone A,2016702,,Place closer to packing area due to high product movement.
21755,Active/Regular Products,Zone B,2014687,,Keep in an easily accessible zone for regular picking.
21791,High-Volume Products,Zone A,2009170,,Place closer to packing area due to high product movement.
82583,High-Volume Products,Zone A,2001174,,Place closer to packing area due to high product movement.
22621,High-Volume Products,Zone A,1999347,,Place closer to packing area due to high product movement.
20972,High-Volume Products,Zone A,1988448,,Place closer to packing area due to high product movement.
84755,High-Volume Products,Zone A,1982232,,Place closer to packing area due to high product movement.
22909,High-Volume Products,Zone A,1969080,,Place closer to packing area due to high product movement.
84692,High-Volume Products,Zone A,1957131,,Place closer to packing area due to high product movement.
23208,High-Volume Products,Zone A,1953232,,Place closer to packing area due to high product movement.
21889,High-Volume Products,Zone A,1947666,,Place closer to packing area due to high product movement.
21975,High-Volume Products,Zone A,1940629,,Place closer to packing area due to high product movement.
21914,High-Volume Products,Zone A,1927791,,Place closer to packing area due to high product movement.
23307,High-Volume Products,Zone A,1895806,,Place closer to packing area due to high product movement.
20718,High-Volume Products,Zone A,1894050,,Place closer to packing area due to high product movement.
48138,High-Volume Products,Zone A,1891736,,Place closer to packing area due to high product movement.
21559,Active/Regular Products,Zone B,1878294,,Keep in an easily accessible zone for regular picking.
48194,Active/Regular Products,Zone B,1872496,,Keep in an easily accessible zone for regular picking.
22557,High-Volume Products,Zone A,1866102,,Place closer to packing area due to high product movement.
22553,Active/Regular Products,Zone B,1855280,,Keep in an easily accessible zone for regular picking.
22219,Active/Regular Products,Zone B,1853952,,Keep in an easily accessible zone for regular picking.
82486,Active/Regular Products,Zone B,1850090,,Keep in an easily accessible zone for regular picking.
48187,Active/Regular Products,Zone B,1836600,,Keep in an easily accessible zone for regular picking.
23321,High-Volume Products,Zone A,1836051,,Place closer to packing area due to high product movement.
22328,High-Volume Products,Zone A,1820854,,Place closer to packing area due to high product movement.
21174,Active/Regular Products,Zone B,1808218,,Keep in an easily accessible zone for regular picking.
22867,High-Volume Products,Zone A,1795514,,Place closer to packing area due to high product movement.
23200,High-Volume Products,Zone A,1787975,,Place closer to packing area due to high product movement.
22730,Active/Regular Products,Zone B,1780110,,Keep in an easily accessible zone for regular picking.
21935,Active/Regular Products,Zone B,1778150,,Keep in an easily accessible zone for regular picking.
21314,Active/Regular Products,Zone B,1777726,,Keep in an easily accessible zone for regular picking.
22556,High-Volume Products,Zone A,1774097,,Place closer to packing area due to high product movement.
22625,Active/Regular Products,Zone B,1767948,,Keep in an easily accessible zone for regular picking.
22144,Active/Regular Products,Zone B,1762016,,Keep in an easily accessible zone for regular picking.
22367,Active/Regular Products,Zone B,1761650,,Keep in an easily accessible zone for regular picking.
84970S,High-Volume Products,Zone A,1756527,,Place closer to packing area due to high product movement.
22113,Active/Regular Products,Zone B,1748076,,Keep in an easily accessible zone for regular picking.
82600,High-Volume Products,Zone A,1741820,,Place closer to packing area due to high product movement.
22900,Active/Regular Products,Zone B,1736514,,Keep in an easily accessible zone for regular picking.
22866,High-Volume Products,Zone A,1736064,,Place closer to packing area due to high product movement.
23204,High-Volume Products,Zone A,1734425,,Place closer to packing area due to high product movement.
84596B,Active/Regular Products,Zone B,1733040,,Keep in an easily accessible zone for regular picking.
22149,High-Volume Products,Zone A,1727426,,Place closer to packing area due to high product movement.
84375,Active/Regular Products,Zone B,1712304,,Keep in an easily accessible zone for regular picking.
22029,High-Volume Products,Zone A,1711169,,Place closer to packing area due to high product movement.
22577,High-Volume Products,Zone A,1707074,57.0,Place closer to packing area due to high product movement.
84836,High-Volume Products,Zone A,1705580,56.0,Place closer to packing area due to high product movement.
22998,High-Volume Products,Zone A,1703460,59.0,Place closer to packing area due to high product movement.
22616,High-Volume Products,Zone A,1699840,58.0,Place closer to packing area due to high product movement.
15036,High-Volume Products,Zone A,1692824,57.0,Place closer to packing area due to high product movement.
22189,High-Volume Products,Zone A,1684136,56.0,Place closer to packing area due to high product movement.
84988,Active/Regular Products,Zone B,1684020,,Keep in an easily accessible zone for regular picking.
21936,Active/Regular Products,Zone B,1678491,,Keep in an easily accessible zone for regular picking.
21843,Active/Regular Products,Zone B,1677368,,Keep in an easily accessible zone for regular picking.
84077,High-Volume Products,Zone A,1672410,56.0,Place closer to packing area due to high product movement.
20971,High-Volume Products,Zone A,1670922,55.0,Place closer to packing area due to high product movement.
21094,High-Volume Products,Zone A,1670063,54.0,Place closer to packing area due to high product movement.
21231,High-Volume Products,Zone A,1655777,57.0,Place closer to packing area due to high product movement.
20711,Active/Regular Products,Zone B,1654740,,Keep in an easily accessible zone for regular picking.
82483,Active/Regular Products,Zone B,1653978,,Keep in an easily accessible zone for regular picking.
22776,Active/Regular Products,Zone B,1644984,,Keep in an easily accessible zone for regular picking.
22417,High-Volume Products,Zone A,1641640,,Place closer to packing area due to high product movement.
22173,Active/Regular Products,Zone B,1632323,,Keep in an easily accessible zone for regular picking.
85066,Active/Regular Products,Zone B,1632255,,Keep in an easily accessible zone for regular picking.
21479,Active/Regular Products,Zone B,1625742,,Keep in an easily accessible zone for regular picking.
23322,Active/Regular Products,Zone B,1622494,,Keep in an easily accessible zone for regular picking.
23293,High-Volume Products,Zone A,1615704,,Place closer to packing area due to high product movement.
22555,High-Volume Products,Zone A,1599075,,Place closer to packing area due to high product movement.
22766,Active/Regular Products,Zone B,1597176,,Keep in an easily accessible zone for regular picking.
21523,Active/Regular Products,Zone B,1596862,,Keep in an easily accessible zone for regular picking.
21481,Active/Regular Products,Zone B,1591030,,Keep in an easily accessible zone for regular picking.
22620,Active/Regular Products,Zone B,1577961,,Keep in an easily accessible zone for regular picking.
22578,High-Volume Products,Zone A,1574912,,Place closer to packing area due to high product movement.
22196,Active/Regular Products,Zone B,1573176,,Keep in an easily accessible zone for regular picking.
85150,Active/Regular Products,Zone B,1553978,,Keep in an easily accessible zone for regular picking.
22352,Active/Regular Products,Zone B,1553968,,Keep in an easily accessible zone for regular picking.
21908,Active/Regular Products,Zone B,1550952,,Keep in an easily accessible zone for regular picking.
23240,Active/Regular Products,Zone B,1528672,,Keep in an easily accessible zone for regular picking.
22804,Active/Regular Products,Zone B,1525806,,Keep in an easily accessible zone for regular picking.
22595,High-Volume Products,Zone A,1506075,55.0,Place closer to packing area due to high product movement.
22147,Active/Regular Products,Zone B,1505049,,Keep in an easily accessible zone for regular picking.
21524,Active/Regular Products,Zone B,1496160,,Keep in an easily accessible zone for regular picking.
22150,Active/Regular Products,Zone B,1493388,,Keep in an easily accessible zone for regular picking.
22427,Active/Regular Products,Zone B,1492700,,Keep in an easily accessible zone for regular picking.
21154,Active/Regular Products,Zone B,1489653,,Keep in an easily accessible zone for regular picking.
22456,Active/Regular Products,Zone B,1488452,,Keep in an easily accessible zone for regular picking.
21165,Active/Regular Products,Zone B,1486190,,Keep in an easily accessible zone for regular picking.
84029G,Active/Regular Products,Zone B,1477062,,Keep in an easily accessible zone for regular picking.
84970L,Active/Regular Products,Zone B,1469255,,Keep in an easily accessible zone for regular picking.
84347,High-Volume Products,Zone A,1464638,,Place closer to packing area due to high product movement.
21430,Active/Regular Products,Zone B,1462959,,Keep in an easily accessible zone for regular picking.
22381,Active/Regular Products,Zone B,1462811,,Keep in an easily accessible zone for regular picking.
21155,Active/Regular Products,Zone B,1457910,,Keep in an easily accessible zone for regular picking.
22568,Active/Regular Products,Zone B,1457000,,Keep in an easily accessible zone for regular picking.
22141,Active/Regular Products,Zone B,1456459,,Keep in an easily accessible zone for regular picking.
22507,Active/Regular Products,Zone B,1454112,,Keep in an easily accessible zone for regular picking.
15056N,Active/Regular Products,Zone B,1441872,,Keep in an easily accessible zone for regular picking.
22619,Active/Regular Products,Zone B,1441079,,Keep in an easily accessible zone for regular picking.
21172,Active/Regular Products,Zone B,1439294,,Keep in an easily accessible zone for regular picking.
21210,Active/Regular Products,Zone B,1437822,,Keep in an easily accessible zone for regular picking.
21992,Active/Regular Products,Zone B,1431824,,Keep in an easily accessible zone for regular picking.
22424,Active/Regular Products,Zone B,1427376,,Keep in an easily accessible zone for regular picking.
21621,Active/Regular Products,Zone B,1426425,,Keep in an easily accessible zone for regular picking.
22489,High-Volume Products,Zone A,1422030,,Place closer to packing area due to high product movement.
22983,Active/Regular Products,Zone B,1422030,,Keep in an easily accessible zone for regular picking.
84997D,Active/Regular Products,Zone B,1421365,,Keep in an easily accessible zone for regular picking.
22951,High-Volume Products,Zone A,1421124,,Place closer to packing area due to high product movement.
22633,Active/Regular Products,Zone B,1418319,,Keep in an easily accessible zone for regular picking.
23198,Active/Regular Products,Zone B,1417400,,Keep in an easily accessible zone for regular picking.
22663,Active/Regular Products,Zone B,1417050,,Keep in an easily accessible zone for regular picking.
84596F,Active/Regular Products,Zone B,1415925,,Keep in an easily accessible zone for regular picking.
21169,Active/Regular Products,Zone B,1415700,,Keep in an easily accessible zone for regular picking.
22771,Active/Regular Products,Zone B,1411641,,Keep in an easily accessible zone for regular picking.
20676,Active/Regular Products,Zone B,1408960,,Keep in an easily accessible zone for regular picking.
21993,Active/Regular Products,Zone B,1402075,,Keep in an easily accessible zone for regular picking.
22749,Active/Regular Products,Zone B,1394594,,Keep in an easily accessible zone for regular picking.
82582,Active/Regular Products,Zone B,1394030,,Keep in an easily accessible zone for regular picking.
21932,Active/Regular Products,Zone B,1386614,,Keep in an easily accessible zone for regular picking.
22748,Active/Regular Products,Zone B,1383428,,Keep in an easily accessible zone for regular picking.
22652,Active/Regular Products,Zone B,1380919,,Keep in an easily accessible zone for regular picking.
22502,Active/Regular Products,Zone B,1376962,,Keep in an easily accessible zone for regular picking.
23343,Active/Regular Products,Zone B,1376116,,Keep in an easily accessible zone for regular picking.
23243,Active/Regular Products,Zone B,1370520,,Keep in an easily accessible zone for regular picking.
21985,High-Volume Products,Zone A,1369816,,Place closer to packing area due to high product movement.
22617,Active/Regular Products,Zone B,1367408,,Keep in an easily accessible zone for regular picking.
22692,Active/Regular Products,Zone B,1365769,,Keep in an easily accessible zone for regular picking.
23182,Active/Regular Products,Zone B,1363517,,Keep in an easily accessible zone for regular picking.
22759,Active/Regular Products,Zone B,1360950,,Keep in an easily accessible zone for regular picking.
23205,Active/Regular Products,Zone B,1359904,,Keep in an easily accessible zone for regular picking.
21891,High-Volume Products,Zone A,1357025,,Place closer to packing area due to high product movement.
22988,High-Volume Products,Zone A,1352648,,Place closer to packing area due to high product movement.
47591D,Active/Regular Products,Zone B,1352559,,Keep in an easily accessible zone for regular picking.
22745,Active/Regular Products,Zone B,1351908,,Keep in an easily accessible zone for regular picking.
21216,Active/Regular Products,Zone B,1349340,,Keep in an easily accessible zone for regular picking.
71459,High-Volume Products,Zone A,1347280,57.0,Place closer to packing area due to high product movement.
21934,Active/Regular Products,Zone B,1343148,,Keep in an easily accessible zone for regular picking.
21892,Active/Regular Products,Zone B,1341884,,Keep in an easily accessible zone for regular picking.
20717,Active/Regular Products,Zone B,1338588,,Keep in an easily accessible zone for regular picking.
85049E,Active/Regular Products,Zone B,1329250,,Keep in an easily accessible zone for regular picking.
22667,Active/Regular Products,Zone B,1327040,,Keep in an easily accessible zone for regular picking.
22501,Active/Regular Products,Zone B,1326545,,Keep in an easily accessible zone for regular picking.
22193,Active/Regular Products,Zone B,1325260,,Keep in an easily accessible zone for regular picking.
21668,Active/Regular Products,Zone B,1323673,,Keep in an easily accessible zone for regular picking.
22212,Active/Regular Products,Zone B,1319493,,Keep in an easily accessible zone for regular picking.
22725,Active/Regular Products,Zone B,1314816,,Keep in an easily accessible zone for regular picking.
23170,Active/Regular Products,Zone B,1312750,,Keep in an easily accessible zone for regular picking.
22694,Active/Regular Products,Zone B,1310175,,Keep in an easily accessible zone for regular picking.
22488,Active/Regular Products,Zone B,1310155,,Keep in an easily accessible zone for regular picking.
22487,Active/Regular Products,Zone B,1309308,,Keep in an easily accessible zone for regular picking.
21558,Active/Regular Products,Zone B,1307276,,Keep in an easily accessible zone for regular picking.
22371,Active/Regular Products,Zone B,1304968,,Keep in an easily accessible zone for regular picking.
21086,Active/Regular Products,Zone B,1302404,,Keep in an easily accessible zone for regular picking.
22082,Active/Regular Products,Zone B,1294485,,Keep in an easily accessible zone for regular picking.
23263,Active/Regular Products,Zone B,1293170,,Keep in an easily accessible zone for regular picking.
35970,Active/Regular Products,Zone B,1292760,,Keep in an easily accessible zone for regular picking.
22729,Active/Regular Products,Zone B,1292280,,Keep in an easily accessible zone for regular picking.
84029E,Active/Regular Products,Zone B,1289145,,Keep in an easily accessible zone for regular picking.
23295,Active/Regular Products,Zone B,1287600,,Keep in an easily accessible zone for regular picking.
22996,Active/Regular Products,Zone B,1287240,,Keep in an easily accessible zone for regular picking.
22561,Active/Regular Products,Zone B,1286010,,Keep in an easily accessible zone for regular picking.
21933,Active/Regular Products,Zone B,1283710,,Keep in an easily accessible zone for regular picking.
22413,Active/Regular Products,Zone B,1282144,,Keep in an easily accessible zone for regular picking.
22661,Active/Regular Products,Zone B,1279445,,Keep in an easily accessible zone for regular picking.
21669,Active/Regular Products,Zone B,1277550,,Keep in an easily accessible zone for regular picking.
21912,Active/Regular Products,Zone B,1273140,,Keep in an easily accessible zone for regular picking.
82581,Active/Regular Products,Zone B,1272915,,Keep in an easily accessible zone for regular picking.
23356,Active/Regular Products,Zone B,1272824,,Keep in an easily accessible zone for regular picking.
22750,Active/Regular Products,Zone B,1262128,,Keep in an easily accessible zone for regular picking.
21035,Active/Regular Products,Zone B,1261194,,Keep in an easily accessible zone for regular picking.
22844,Active/Regular Products,Zone B,1260480,,Keep in an easily accessible zone for regular picking.
22585,Active/Regular Products,Zone B,1252150,,Keep in an easily accessible zone for regular picking.
21976,Active/Regular Products,Zone B,1248954,,Keep in an easily accessible zone for regular picking.
21484,Active/Regular Products,Zone B,1247808,,Keep in an easily accessible zone for regular picking.
21672,Active/Regular Products,Zone B,1227818,,Keep in an easily accessible zone for regular picking.
22631,Active/Regular Products,Zone B,1226412,,Keep in an easily accessible zone for regular picking.
22734,Active/Regular Products,Zone B,1222112,,Keep in an easily accessible zone for regular picking.
22297,Active/Regular Products,Zone B,1220940,,Keep in an easily accessible zone for regular picking.
22195,Active/Regular Products,Zone B,1217845,,Keep in an easily accessible zone for regular picking.
22646,Active/Regular Products,Zone B,1216800,,Keep in an easily accessible zone for regular picking.
23309,High-Volume Products,Zone A,1210418,60.0,Place closer to packing area due to high product movement.
22560,Active/Regular Products,Zone B,1210179,,Keep in an easily accessible zone for regular picking.
22752,Active/Regular Products,Zone B,1208400,,Keep in an easily accessible zone for regular picking.
22499,Active/Regular Products,Zone B,1206755,,Keep in an easily accessible zone for regular picking.
21918,Active/Regular Products,Zone B,1199619,,Keep in an easily accessible zone for regular picking.
48184,Active/Regular Products,Zone B,1197394,,Keep in an easily accessible zone for regular picking.
21990,Active/Regular Products,Zone B,1196088,,Keep in an easily accessible zone for regular picking.
21218,Active/Regular Products,Zone B,1195002,,Keep in an easily accessible zone for regular picking.
21900,Active/Regular Products,Zone B,1191516,,Keep in an easily accessible zone for regular picking.
21888,Active/Regular Products,Zone B,1191456,,Keep in an easily accessible zone for regular picking.
23173,Active/Regular Products,Zone B,1191424,,Keep in an easily accessible zone for regular picking.
22964,Active/Regular Products,Zone B,1184652,,Keep in an easily accessible zone for regular picking.
22429,Active/Regular Products,Zone B,1175376,,Keep in an easily accessible zone for regular picking.
21982,Active/Regular Products,Zone B,1175366,,Keep in an easily accessible zone for regular picking.
22171,Active/Regular Products,Zone B,1172740,,Keep in an easily accessible zone for regular picking.
22084,Active/Regular Products,Zone B,1171532,,Keep in an easily accessible zone for regular picking.
23328,Active/Regular Products,Zone B,1167210,,Keep in an easily accessible zone for regular picking.
22795,Active/Regular Products,Zone B,1163984,,Keep in an easily accessible zone for regular picking.
22834,Active/Regular Products,Zone B,1163984,,Keep in an easily accessible zone for regular picking.
22979,Active/Regular Products,Zone B,1160907,,Keep in an easily accessible zone for regular picking.
21871,Active/Regular Products,Zone B,1155609,,Keep in an easily accessible zone for regular picking.
22169,Active/Regular Products,Zone B,1153572,,Keep in an easily accessible zone for regular picking.
82552,Active/Regular Products,Zone B,1150968,,Keep in an easily accessible zone for regular picking.
22908,Active/Regular Products,Zone B,1150875,,Keep in an easily accessible zone for regular picking.
22191,Active/Regular Products,Zone B,1148720,,Keep in an easily accessible zone for regular picking.
23493,Active/Regular Products,Zone B,1148720,,Keep in an easily accessible zone for regular picking.
21916,Active/Regular Products,Zone B,1146646,,Keep in an easily accessible zone for regular picking.
22570,Active/Regular Products,Zone B,1144490,,Keep in an easily accessible zone for regular picking.
22142,Active/Regular Products,Zone B,1140425,,Keep in an easily accessible zone for regular picking.
22632,Active/Regular Products,Zone B,1139936,,Keep in an easily accessible zone for regular picking.
22348,Active/Regular Products,Zone B,1139872,,Keep in an easily accessible zone for regular picking.
82551,Active/Regular Products,Zone B,1138293,,Keep in an easily accessible zone for regular picking.
22549,Active/Regular Products,Zone B,1137776,,Keep in an easily accessible zone for regular picking.
21974,Active/Regular Products,Zone B,1133280,,Keep in an easily accessible zone for regular picking.
22989,Active/Regular Products,Zone B,1127904,,Keep in an easily accessible zone for regular picking.
21137,High-Volume Products,Zone A,1127625,,Place closer to packing area due to high product movement.
20973,Active/Regular Products,Zone B,1127480,,Keep in an easily accessible zone for regular picking.
22027,Active/Regular Products,Zone B,1127268,,Keep in an easily accessible zone for regular picking.
21328,Active/Regular Products,Zone B,1126230,,Keep in an easily accessible zone for regular picking.
23171,Active/Regular Products,Zone B,1123188,,Keep in an easily accessible zone for regular picking.
21238,Active/Regular Products,Zone B,1120752,,Keep in an easily accessible zone for regular picking.
47590A,Active/Regular Products,Zone B,1117740,,Keep in an easily accessible zone for regular picking.
23308,Active/Regular Products,Zone B,1116968,,Keep in an easily accessible zone for regular picking.
21121,Active/Regular Products,Zone B,1114639,,Keep in an easily accessible zone for regular picking.
47590B,Active/Regular Products,Zone B,1109439,,Keep in an easily accessible zone for regular picking.
22492,High-Volume Products,Zone A,1108840,,Place closer to packing area due to high product movement.
22161,Active/Regular Products,Zone B,1108060,,Keep in an easily accessible zone for regular picking.
20975,Active/Regular Products,Zone B,1106272,,Keep in an easily accessible zone for regular picking.
84536A,Active/Regular Products,Zone B,1105522,,Keep in an easily accessible zone for regular picking.
22645,Active/Regular Products,Zone B,1105299,,Keep in an easily accessible zone for regular picking.
84997B,Active/Regular Products,Zone B,1104820,,Keep in an easily accessible zone for regular picking.
22037,Active/Regular Products,Zone B,1104480,,Keep in an easily accessible zone for regular picking.
22464,Active/Regular Products,Zone B,1104246,,Keep in an easily accessible zone for regular picking.
21671,Active/Regular Products,Zone B,1102572,,Keep in an easily accessible zone for regular picking.
21877,Active/Regular Products,Zone B,1100746,,Keep in an easily accessible zone for regular picking.
22665,Active/Regular Products,Zone B,1095412,,Keep in an easily accessible zone for regular picking.
85014B,Active/Regular Products,Zone B,1093400,,Keep in an easily accessible zone for regular picking.
