StockCode,order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster_name,recommended_zone,distance_from_packing,picking_priority,current_distance,distance_saved
22355,882,18124,20.364044943820225,3378,High-Volume Products,Zone A,10.0,15985368,60,50.0
20727,1273,12195,9.373558800922368,3438,High-Volume Products,Zone A,10.0,15524235,60,50.0
84991,828,18189,21.55094786729858,3369,High-Volume Products,Zone A,10.0,15060492,60,50.0
22411,1175,12574,10.655932203389831,3428,High-Volume Products,Zone A,10.0,14774450,60,50.0
23199,978,14908,15.119675456389452,3185,High-Volume Products,Zone A,10.0,14580024,60,50.0
21915,661,21903,32.98644578313253,3214,High-Volume Products,Zone A,10.0,14477883,60,50.0
23209,1098,13170,11.82226211849192,3054,High-Volume Products,Zone A,10.0,14460660,60,50.0
85099F,812,17237,21.123774509803923,3267,High-Volume Products,Zone A,10.0,13996444,60,50.0
22993,1073,12649,11.604587155963303,3337,High-Volume Products,Zone A,10.0,13572377,60,50.0
20728,1150,11786,10.142857142857142,3329,High-Volume Products,Zone A,10.0,13553900,60,50.0
21790,926,14521,15.53048128342246,3399,High-Volume Products,Zone A,10.0,13446446,60,50.0
22616,512,26119,49.94072657743786,3319,High-Volume Products,Zone A,10.0,13372928,60,50.0
21080,986,13202,13.136318407960198,3372,High-Volume Products,Zone A,10.0,13017172,60,50.0
85099C,933,13900,14.74019088016967,3361,High-Volume Products,Zone A,10.0,12968700,60,50.0
22629,900,14249,15.744751381215469,3353,High-Volume Products,Zone A,10.0,12824100,60,50.0
23206,1036,12147,11.535612535612536,3104,High-Volume Products,Zone A,10.0,12584292,60,50.0
15036,518,23826,45.907514450867055,3267,High-Volume Products,Zone A,10.0,12341868,60,50.0
23201,906,13366,14.67178924259056,3135,High-Volume Products,Zone A,10.0,12109596,60,50.0
22382,1157,10427,8.957903780068728,3339,High-Volume Products,Zone A,10.0,12064039,60,50.0
21731,849,14001,16.37543859649123,3396,High-Volume Products,Zone A,10.0,11886849,60,50.0
22384,1090,10487,9.524977293369664,3337,High-Volume Products,Zone A,10.0,11430830,60,50.0
22457,1249,9119,7.266135458167331,3508,High-Volume Products,Zone A,10.0,11389631,60,50.0
20719,833,13290,15.821428571428571,3318,High-Volume Products,Zone A,10.0,11070570,60,50.0
22699,1065,9864,9.19291705498602,3438,High-Volume Products,Zone A,10.0,10505160,60,50.0
21181,845,12274,14.322053675612603,3362,High-Volume Products,Zone A,10.0,10371530,60,50.0
22720,1385,7483,5.375718390804598,3432,High-Volume Products,Zone A,10.0,10363955,60,50.0
84755,621,16401,26.368167202572348,3191,High-Volume Products,Zone A,10.0,10185021,60,50.0
22492,380,26633,70.08684210526316,2917,High-Volume Products,Zone A,10.0,10120540,60,50.0
20726,1017,9909,9.620388349514563,3339,High-Volume Products,Zone A,10.0,10077453,60,50.0
21213,663,15169,22.60655737704918,3267,High-Volume Products,Zone A,10.0,10057047,60,50.0
22630,850,11780,13.72960372960373,3385,High-Volume Products,Zone A,10.0,10013000,60,50.0
22952,619,16056,25.364928909952607,3257,High-Volume Products,Zone A,10.0,9938664,60,50.0
82482,1100,8986,8.124773960216999,3417,High-Volume Products,Zone A,10.0,9884600,60,50.0
21175,809,12207,15.033251231527094,3396,High-Volume Products,Zone A,10.0,9875463,60,50.0
22960,1132,8695,7.6743159752868495,3433,High-Volume Products,Zone A,10.0,9842740,60,50.0
21232,831,11842,14.165071770334928,3436,High-Volume Products,Zone A,10.0,9840702,60,50.0
23298,1146,8466,7.291989664082688,3132,High-Volume Products,Zone A,10.0,9702036,60,50.0
23202,879,10941,12.348758465011286,3030,High-Volume Products,Zone A,10.0,9617139,60,50.0
21929,865,11006,12.621559633027523,3363,High-Volume Products,Zone A,10.0,9520190,60,50.0
22666,1111,8269,7.389633601429848,3501,High-Volume Products,Zone A,10.0,9186859,60,50.0
22470,925,9887,10.563034188034187,3395,High-Volume Products,Zone A,10.0,9145475,60,50.0
84978,728,12493,17.043656207366986,3280,High-Volume Products,Zone A,10.0,9094904,60,50.0
22077,955,9172,9.455670103092784,3433,High-Volume Products,Zone A,10.0,8759260,60,50.0
22910,820,10594,12.748495788206979,3232,High-Volume Products,Zone A,10.0,8687080,60,50.0
21928,806,10468,12.939431396786155,3311,High-Volume Products,Zone A,10.0,8437208,60,50.0
20712,863,9773,11.24626006904488,3327,High-Volume Products,Zone A,10.0,8434099,60,50.0
22727,1051,7800,7.351555136663525,3320,High-Volume Products,Zone A,10.0,8197800,60,50.0
84992,615,13319,21.141269841269843,3340,High-Volume Products,Zone A,10.0,8191185,60,50.0
22659,707,11504,15.933518005540167,3365,High-Volume Products,Zone A,10.0,8133328,60,50.0
22969,646,12520,19.38080495356037,3305,High-Volume Products,Zone A,10.0,8087920,60,50.0
23301,913,8807,9.572826086956521,3183,High-Volume Products,Zone A,10.0,8040791,60,50.0
23307,629,12049,18.797191887675506,3013,High-Volume Products,Zone A,10.0,7578821,60,50.0
20713,657,11429,17.264350453172206,3276,High-Volume Products,Zone A,10.0,7508853,60,50.0
21166,723,10324,14.18131868131868,3344,High-Volume Products,Zone A,10.0,7464252,60,50.0
21975,601,12312,20.01951219512195,3228,High-Volume Products,Zone A,10.0,7399512,60,50.0
22697,1013,7278,7.12133072407045,3469,High-Volume Products,Zone A,10.0,7372614,60,50.0
23344,716,10285,14.245152354570637,2962,High-Volume Products,Zone A,10.0,7364060,60,50.0
22356,742,9716,12.86887417218543,3340,High-Volume Products,Zone A,10.0,7209272,60,50.0
20723,722,9793,13.488980716253444,3320,High-Volume Products,Zone A,10.0,7070546,60,50.0
79321,661,10302,15.44527736131934,3313,High-Volume Products,Zone A,10.0,6809622,60,50.0
22558,772,8676,11.19483870967742,3348,High-Volume Products,Zone A,10.0,6697872,60,50.0
22998,534,12366,22.985130111524164,3189,High-Volume Products,Zone A,10.0,6603444,60,50.0
22726,980,6419,6.490394337714863,3341,High-Volume Products,Zone A,10.0,6290620,60,50.0
22326,732,8535,11.643929058663028,3201,High-Volume Products,Zone A,10.0,6247620,60,50.0
82494L,910,6735,7.344601962922574,3301,High-Volume Products,Zone A,10.0,6128850,60,50.0
22090,798,7562,9.428927680798004,3312,High-Volume Products,Zone A,10.0,6034476,60,50.0
71459,440,13605,30.85034013605442,3061,High-Volume Products,Zone A,10.0,5986200,60,50.0
22385,686,8666,12.523121387283236,3218,High-Volume Products,Zone A,10.0,5944876,60,50.0
21733,741,7872,10.45418326693227,3275,High-Volume Products,Zone A,10.0,5833152,60,50.0
23207,740,7830,10.357142857142858,2989,High-Volume Products,Zone A,10.0,5794200,60,50.0
20971,522,10993,20.899239543726235,3200,High-Volume Products,Zone A,10.0,5738346,60,50.0
22577,538,10608,19.14801444043321,3172,High-Volume Products,Zone A,10.0,5707104,60,50.0
20914,880,6361,7.123180291153416,3333,High-Volume Products,Zone A,10.0,5597680,60,50.0
85152,677,8246,12.144329896907216,3270,High-Volume Products,Zone A,10.0,5582542,60,50.0
23245,873,6345,7.243150684931507,3084,High-Volume Products,Zone A,10.0,5539185,60,50.0
22865,654,8439,12.67117117117117,3189,High-Volume Products,Zone A,10.0,5519106,60,50.0
17003,239,23020,95.51867219917013,3023,High-Volume Products,Zone A,10.0,5501780,60,50.0
22554,704,7803,10.928571428571429,3291,High-Volume Products,Zone A,10.0,5493312,60,50.0
22909,610,8976,14.384615384615385,3227,High-Volume Products,Zone A,10.0,5475360,60,50.0
22551,673,8074,11.856093979441997,3256,High-Volume Products,Zone A,10.0,5433802,60,50.0
22467,681,7926,11.503628447024674,3367,High-Volume Products,Zone A,10.0,5397606,60,50.0
22578,512,10460,19.735849056603772,3075,High-Volume Products,Zone A,10.0,5355520,60,50.0
22112,858,6017,6.900229357798165,3249,High-Volume Products,Zone A,10.0,5162586,60,50.0
23300,758,6809,8.889033942558747,3151,High-Volume Products,Zone A,10.0,5161222,60,50.0
22379,748,6896,9.194666666666667,3345,High-Volume Products,Zone A,10.0,5158208,60,50.0
22151,332,15126,44.61946902654867,2975,High-Volume Products,Zone A,10.0,5021832,60,50.0
22966,670,7440,10.909090909090908,3343,High-Volume Products,Zone A,10.0,4984800,60,50.0
22722,834,5966,7.043683589138134,3324,High-Volume Products,Zone A,10.0,4975644,60,50.0
22693,305,16244,53.25901639344262,2915,High-Volume Products,Zone A,10.0,4954420,60,50.0
21791,607,7864,12.870703764320785,3309,High-Volume Products,Zone A,10.0,4773448,60,50.0
84970S,537,8879,16.534450651769088,3270,High-Volume Products,Zone A,10.0,4768023,60,50.0
21914,603,7876,12.911475409836065,3196,High-Volume Products,Zone A,10.0,4749228,60,50.0
23293,552,8471,15.290613718411553,2926,High-Volume Products,Zone A,10.0,4675992,60,50.0
23204,583,7976,13.610921501706486,2974,High-Volume Products,Zone A,10.0,4650008,60,50.0
21094,527,8758,16.462406015037594,3168,High-Volume Products,Zone A,10.0,4615466,60,50.0
22138,934,4937,5.2633262260127935,3218,High-Volume Products,Zone A,10.0,4611158,60,50.0
84692,583,7903,13.394915254237288,3356,High-Volume Products,Zone A,10.0,4607449,60,50.0
22662,682,6706,9.718840579710145,3218,High-Volume Products,Zone A,10.0,4573492,60,50.0
23355,782,5816,7.306532663316583,2830,High-Volume Products,Zone A,10.0,4548112,60,50.0
21930,705,6438,9.016806722689076,3272,High-Volume Products,Zone A,10.0,4538790,60,50.0
20972,616,7337,11.795819935691318,3227,High-Volume Products,Zone A,10.0,4519592,60,50.0
22698,765,5788,7.536458333333333,3242,High-Volume Products,Zone A,10.0,4427820,60,50.0
82583,609,7258,11.687600644122384,3285,High-Volume Products,Zone A,10.0,4420122,60,50.0
22907,670,6573,9.498554913294798,3304,High-Volume Products,Zone A,10.0,4403910,60,50.0
22417,520,8420,15.977229601518026,3156,High-Volume Products,Zone A,10.0,4378400,60,50.0
21137,375,11651,30.986702127659573,3006,High-Volume Products,Zone A,10.0,4369125,60,50.0
22139,962,4518,4.686721991701245,3268,High-Volume Products,Zone A,10.0,4346316,60,50.0
22189,524,8284,15.749049429657795,3213,High-Volume Products,Zone A,10.0,4340816,60,50.0
84378,685,6332,9.15028901734104,3409,High-Volume Products,Zone A,10.0,4337420,60,50.0
22489,443,9719,21.791479820627803,3209,High-Volume Products,Zone A,10.0,4305517,60,50.0
22029,527,8161,15.456439393939394,3246,High-Volume Products,Zone A,10.0,4300847,60,50.0
84347,449,9461,20.39008620689655,3261,High-Volume Products,Zone A,10.0,4247989,60,50.0
23208,668,6308,9.317577548005909,2923,High-Volume Products,Zone A,10.0,4213744,60,50.0
23200,595,7067,11.81772575250836,3004,High-Volume Products,Zone A,10.0,4204865,60,50.0
22728,783,5356,6.77117572692794,3314,High-Volume Products,Zone A,10.0,4193748,60,50.0
82484,685,6012,8.776642335766423,3213,High-Volume Products,Zone A,10.0,4118220,60,50.0
23284,728,5487,7.495901639344262,3007,High-Volume Products,Zone A,10.0,3994536,60,50.0
84380,688,5799,8.355907780979827,3356,High-Volume Products,Zone A,10.0,3989712,60,50.0
22328,581,6835,11.683760683760683,3133,High-Volume Products,Zone A,10.0,3971135,60,50.0
22988,418,9073,21.5,3235,High-Volume Products,Zone A,10.0,3792514,60,50.0
21889,587,6390,10.667779632721203,3317,High-Volume Products,Zone A,10.0,3750930,60,50.0
21985,427,8775,20.454545454545453,3207,High-Volume Products,Zone A,10.0,3746925,60,50.0
22621,609,6148,9.932148626817447,3282,High-Volume Products,Zone A,10.0,3744132,60,50.0
82580,631,5881,9.27602523659306,3428,High-Volume Products,Zone A,10.0,3710911,60,50.0
22114,643,5740,8.885448916408668,3173,High-Volume Products,Zone A,10.0,3690820,60,50.0
84945,347,10545,29.957386363636363,3032,High-Volume Products,Zone A,10.0,3659115,60,50.0
22866,548,6611,11.763345195729537,3167,High-Volume Products,Zone A,10.0,3622828,60,50.0
22111,771,4655,5.960307298335468,3276,High-Volume Products,Zone A,10.0,3589005,60,50.0
21326,340,10535,30.447976878612717,3028,High-Volume Products,Zone A,10.0,3581900,60,50.0
23077,344,10395,30.218023255813954,2816,High-Volume Products,Zone A,10.0,3575880,60,50.0
22867,554,6433,11.467023172905526,3240,High-Volume Products,Zone A,10.0,3563882,60,50.0
POST,1126,3150,2.797513321492007,2166,High-Volume Products,Zone A,10.0,3546900,60,50.0
21498,336,10526,31.327380952380953,2278,High-Volume Products,Zone A,10.0,3536736,60,50.0
22556,571,6113,10.594454072790295,3106,High-Volume Products,Zone A,10.0,3490523,60,50.0
21891,425,8130,18.819444444444443,3192,High-Volume Products,Zone A,10.0,3455250,60,50.0
23309,407,8275,19.60900473933649,2973,High-Volume Products,Zone A,10.0,3367925,60,50.0
22149,547,6070,10.976491862567812,3157,High-Volume Products,Zone A,10.0,3320290,60,50.0
82600,545,6013,10.952641165755919,3195,High-Volume Products,Zone A,10.0,3277085,60,50.0
22951,437,7481,16.925339366515836,3251,High-Volume Products,Zone A,10.0,3269197,60,50.0
84836,535,5937,10.893577981651376,3187,High-Volume Products,Zone A,10.0,3176295,60,50.0
22595,467,6788,14.320675105485233,3224,High-Volume Products,Zone A,10.0,3169996,60,50.0
22560,389,8144,20.93573264781491,3110,Active/Regular Products,Zone B,25.0,3168016,60,35.0
22555,515,6010,11.469465648854962,3104,High-Volume Products,Zone A,10.0,3095150,60,50.0
21231,509,6054,11.847358121330725,3252,High-Volume Products,Zone A,10.0,3081486,60,50.0
23170,445,6857,15.408988764044944,2949,Active/Regular Products,Zone B,25.0,3051365,60,35.0
21086,428,7121,16.370114942528737,3042,Active/Regular Products,Zone B,25.0,3047788,60,35.0
84947,347,8652,24.579545454545453,3099,Active/Regular Products,Zone B,25.0,3002244,60,35.0
22147,481,6226,12.577777777777778,3128,Active/Regular Products,Zone B,25.0,2994706,60,35.0
23321,629,4716,7.3229813664596275,2918,High-Volume Products,Zone A,10.0,2966364,60,50.0
23310,245,12050,48.983739837398375,2676,High-Volume Products,Zone A,10.0,2952250,60,50.0
23343,476,6078,12.506172839506172,2890,Active/Regular Products,Zone B,25.0,2893128,60,35.0
22771,441,6539,14.628635346756152,3200,Active/Regular Products,Zone B,25.0,2883699,60,35.0
20685,696,4088,5.865136298421808,3254,High-Volume Products,Zone A,10.0,2845248,60,50.0
22083,610,4616,7.554828150572831,3316,High-Volume Products,Zone A,10.0,2815760,60,50.0
84970L,457,6064,13.240174672489083,3214,Active/Regular Products,Zone B,25.0,2771248,60,35.0
20668,215,12883,59.096330275229356,2935,High-Volume Products,Zone A,10.0,2769845,60,50.0
21703,294,9390,31.51006711409396,3054,Active/Regular Products,Zone B,25.0,2760660,60,35.0
22791,345,7955,22.991329479768787,3136,Active/Regular Products,Zone B,25.0,2744475,60,35.0
20718,575,4769,8.250865051903114,3293,High-Volume Products,Zone A,10.0,2742175,60,50.0
23205,467,5857,12.461702127659574,2911,Active/Regular Products,Zone B,25.0,2735219,60,35.0
23295,444,6134,13.63111111111111,2899,Active/Regular Products,Zone B,25.0,2723496,60,35.0
21108,262,10241,38.93916349809886,3091,Active/Regular Products,Zone B,25.0,2683142,60,35.0
22557,566,4712,8.180555555555555,3296,High-Volume Products,Zone A,10.0,2666992,60,50.0
21918,369,7199,19.352150537634408,3250,Active/Regular Products,Zone B,25.0,2656431,60,35.0
21210,453,5808,12.821192052980132,3173,Active/Regular Products,Zone B,25.0,2631024,60,35.0
84596B,522,5023,9.495274102079396,3319,Active/Regular Products,Zone B,25.0,2622006,60,35.0
22900,533,4907,9.03683241252302,3257,Active/Regular Products,Zone B,25.0,2615431,60,35.0
20711,522,5007,9.555343511450381,3169,Active/Regular Products,Zone B,25.0,2613654,60,35.0
21982,359,7173,19.598360655737704,3273,Active/Regular Products,Zone B,25.0,2575107,60,35.0
22561,433,5883,13.309954751131222,2969,Active/Regular Products,Zone B,25.0,2547339,60,35.0
21121,379,6606,17.24804177545692,2940,Active/Regular Products,Zone B,25.0,2503674,60,35.0
20974,355,6976,19.21763085399449,3009,Active/Regular Products,Zone B,25.0,2476480,60,35.0
22585,395,6221,15.285012285012286,3169,Active/Regular Products,Zone B,25.0,2457295,60,35.0
84997D,473,5103,10.720588235294118,3004,Active/Regular Products,Zone B,25.0,2413719,60,35.0
20975,362,6633,18.12295081967213,3055,Active/Regular Products,Zone B,25.0,2401146,60,35.0
21668,437,5494,12.458049886621316,3028,Active/Regular Products,Zone B,25.0,2400878,60,35.0
23171,381,6247,16.31070496083551,2947,Active/Regular Products,Zone B,25.0,2380107,60,35.0
22652,467,5091,10.831914893617022,2956,Active/Regular Products,Zone B,25.0,2377497,60,35.0
22553,560,4242,7.442105263157894,3312,Active/Regular Products,Zone B,25.0,2375520,60,35.0
22620,483,4889,9.977551020408164,3266,Active/Regular Products,Zone B,25.0,2361387,60,35.0
23308,382,6139,15.781491002570695,2923,Active/Regular Products,Zone B,25.0,2345098,60,35.0
22983,443,5290,11.941309255079007,3209,Active/Regular Products,Zone B,25.0,2343470,60,35.0
22633,479,4851,9.839756592292089,2960,Active/Regular Products,Zone B,25.0,2323629,60,35.0
48138,616,3751,6.06957928802589,3070,High-Volume Products,Zone A,10.0,2310616,60,50.0
35970,456,5050,10.86021505376344,2834,Active/Regular Products,Zone B,25.0,2302800,60,35.0
21314,541,4246,7.833948339483395,3285,Active/Regular Products,Zone B,25.0,2297086,60,35.0
22759,422,5435,12.63953488372093,3224,Active/Regular Products,Zone B,25.0,2293570,60,35.0
48187,600,3807,6.323920265780731,3060,Active/Regular Products,Zone B,25.0,2284200,60,35.0
22835,657,3441,5.197885196374623,3287,High-Volume Products,Zone A,10.0,2260737,60,50.0
22084,436,5181,11.695259593679458,2686,Active/Regular Products,Zone B,25.0,2258916,60,35.0
23243,470,4800,10.19108280254777,2915,Active/Regular Products,Zone B,25.0,2256000,60,35.0
21559,573,3933,6.769363166953529,3277,Active/Regular Products,Zone B,25.0,2253609,60,35.0
20676,448,5023,11.137472283813747,3144,Active/Regular Products,Zone B,25.0,2250304,60,35.0
22219,544,4133,7.47377938517179,3407,Active/Regular Products,Zone B,25.0,2248352,60,35.0
21174,538,4175,7.674632352941177,3360,Active/Regular Products,Zone B,25.0,2246150,60,35.0
23240,536,4177,7.6501831501831505,2851,Active/Regular Products,Zone B,25.0,2238872,60,35.0
23076,277,8076,29.15523465703971,2670,Active/Regular Products,Zone B,25.0,2237052,60,35.0
21669,425,5252,12.101382488479263,3005,Active/Regular Products,Zone B,25.0,2232100,60,35.0
84375,517,4311,8.27447216890595,3311,Active/Regular Products,Zone B,25.0,2228787,60,35.0
22144,544,4073,7.365280289330922,3238,Active/Regular Products,Zone B,25.0,2215712,60,35.0
84988,510,4311,8.436399217221135,3301,Active/Regular Products,Zone B,25.0,2198610,60,35.0
21485,623,3524,5.50625,3246,High-Volume Products,Zone A,10.0,2195452,60,50.0
21787,243,8875,35.78629032258065,3068,Active/Regular Products,Zone B,25.0,2156625,60,35.0
22661,415,5194,12.39618138424821,3082,Active/Regular Products,Zone B,25.0,2155510,60,35.0
21754,777,2759,3.532650448143406,3296,High-Volume Products,Zone A,10.0,2143743,60,50.0
71477,316,6748,21.153605015673982,3071,Active/Regular Products,Zone B,25.0,2132368,60,35.0
21936,531,3985,7.4906015037593985,3160,Active/Regular Products,Zone B,25.0,2116035,60,35.0
22418,318,6564,20.57680250783699,3038,Active/Regular Products,Zone B,25.0,2087352,60,35.0
22610,216,9572,44.11059907834101,2777,Active/Regular Products,Zone B,25.0,2067552,60,35.0
22367,550,3749,6.779385171790235,3202,Active/Regular Products,Zone B,25.0,2061950,60,35.0
21976,393,5199,13.06281407035176,3177,Active/Regular Products,Zone B,25.0,2043207,60,35.0
21672,409,4992,12.028915662650602,3001,Active/Regular Products,Zone B,25.0,2041728,60,35.0
84029E,429,4734,10.808219178082192,3004,Active/Regular Products,Zone B,25.0,2030886,60,35.0
23232,238,8526,35.67364016736402,2090,Active/Regular Products,Zone B,25.0,2029188,60,35.0
48194,592,3416,5.760539629005059,3162,Active/Regular Products,Zone B,25.0,2022272,60,35.0
M,289,6984,22.10126582278481,2478,Active/Regular Products,Zone B,25.0,2018376,60,35.0
22741,233,8547,36.52564102564103,3037,Active/Regular Products,Zone B,25.0,1991451,60,35.0
21169,450,4413,9.677631578947368,3145,Active/Regular Products,Zone B,25.0,1985850,60,35.0
21980,297,6685,22.43288590604027,3043,Active/Regular Products,Zone B,25.0,1985445,60,35.0
21497,230,8550,37.17391304347826,2034,Active/Regular Products,Zone B,25.0,1966500,60,35.0
22996,408,4801,11.568674698795181,3154,Active/Regular Products,Zone B,25.0,1958808,60,35.0
21479,499,3915,7.676470588235294,3257,Active/Regular Products,Zone B,25.0,1953585,60,35.0
21871,357,5453,15.105263157894736,3236,Active/Regular Products,Zone B,25.0,1946721,60,35.0
85150,478,4037,8.427974947807932,3250,Active/Regular Products,Zone B,25.0,1929686,60,35.0
82582,437,4365,9.943052391799544,3189,Active/Regular Products,Zone B,25.0,1907505,60,35.0
23231,260,7277,27.98846153846154,1973,Active/Regular Products,Zone B,25.0,1892020,60,35.0
21877,349,5411,15.46,3153,Active/Regular Products,Zone B,25.0,1888439,60,35.0
23296,378,4979,13.034031413612565,2728,Active/Regular Products,Zone B,25.0,1882062,60,35.0
23230,235,7976,33.94042553191489,1950,Active/Regular Products,Zone B,25.0,1874360,60,35.0
21165,449,4154,9.12967032967033,3309,Active/Regular Products,Zone B,25.0,1865146,60,35.0
21122,344,5325,15.214285714285714,3010,Active/Regular Products,Zone B,25.0,1831800,60,35.0
84568,147,12442,84.63945578231292,2959,Active/Regular Products,Zone B,25.0,1828974,60,35.0
22992,348,5233,14.69943820224719,2924,Active/Regular Products,Zone B,25.0,1821084,60,35.0
21154,451,4034,8.807860262008735,3302,Active/Regular Products,Zone B,25.0,1819334,60,35.0
22834,368,4941,13.246648793565683,3162,Active/Regular Products,Zone B,25.0,1818288,60,35.0
22113,561,3220,5.5326460481099655,3115,Active/Regular Products,Zone B,25.0,1806420,60,35.0
15056N,456,3950,8.624454148471616,3161,Active/Regular Products,Zone B,25.0,1801200,60,35.0
21935,530,3393,6.389830508474576,3354,Active/Regular Products,Zone B,25.0,1798290,60,35.0
16161P,248,7201,29.036290322580644,2069,Active/Regular Products,Zone B,25.0,1785848,60,35.0
21908,468,3771,7.972515856236787,3313,Active/Regular Products,Zone B,25.0,1764828,60,35.0
23078,257,6831,26.579766536964982,2742,Active/Regular Products,Zone B,25.0,1755567,60,35.0
22632,392,4468,11.197994987468672,2907,Active/Regular Products,Zone B,25.0,1751456,60,35.0
22579,338,5167,14.805157593123209,2987,Active/Regular Products,Zone B,25.0,1746446,60,35.0
72741,292,5958,20.33447098976109,3013,Active/Regular Products,Zone B,25.0,1739736,60,35.0
21136,370,4687,12.465425531914894,2837,Active/Regular Products,Zone B,25.0,1734190,60,35.0
22161,340,5083,14.238095238095237,3258,Active/Regular Products,Zone B,25.0,1728220,60,35.0
23322,562,3069,5.365384615384615,2886,Active/Regular Products,Zone B,25.0,1724778,60,35.0
23263,445,3863,8.149789029535865,2905,Active/Regular Products,Zone B,25.0,1719035,60,35.0
23581,338,5020,14.55072463768116,2541,Active/Regular Products,Zone B,25.0,1696760,60,35.0
21916,359,4599,12.6,3193,Active/Regular Products,Zone B,25.0,1651041,60,35.0
22766,504,3267,6.431102362204724,3168,Active/Regular Products,Zone B,25.0,1646568,60,35.0
23493,415,3964,9.349056603773585,2767,Active/Regular Products,Zone B,25.0,1645060,60,35.0
22730,570,2885,5.043706293706293,3122,Active/Regular Products,Zone B,25.0,1644450,60,35.0
22908,375,4380,11.43603133159269,3068,Active/Regular Products,Zone B,25.0,1642500,60,35.0
21034,871,1878,2.066006600660066,3050,High-Volume Products,Zone A,10.0,1635738,60,50.0
22294,299,5457,17.775244299674267,3172,Active/Regular Products,Zone B,25.0,1631643,60,35.0
21523,502,3245,6.464143426294821,3180,Active/Regular Products,Zone B,25.0,1628990,60,35.0
21172,467,3485,7.352320675105485,3081,Active/Regular Products,Zone B,25.0,1627495,60,35.0
21671,369,4402,11.897297297297298,2987,Active/Regular Products,Zone B,25.0,1624338,60,35.0
84596F,435,3732,8.405405405405405,3254,Active/Regular Products,Zone B,25.0,1623420,60,35.0
22646,390,4160,10.585241730279899,3119,Active/Regular Products,Zone B,25.0,1622400,60,35.0
22065,241,6729,26.808764940239044,3062,Active/Regular Products,Zone B,25.0,1621689,60,35.0
21481,490,3307,6.614,3246,Active/Regular Products,Zone B,25.0,1620430,60,35.0
23182,433,3741,8.560640732265446,3148,Active/Regular Products,Zone B,25.0,1619853,60,35.0
21670,374,4328,11.541333333333334,2902,Active/Regular Products,Zone B,25.0,1618672,60,35.0
22381,469,3439,7.2706131078224105,3118,Active/Regular Products,Zone B,25.0,1612891,60,35.0
20973,355,4497,12.32054794520548,3175,Active/Regular Products,Zone B,25.0,1596435,60,35.0
21673,365,4372,11.848238482384824,2987,Active/Regular Products,Zone B,25.0,1595780,60,35.0
21506,323,4922,15.238390092879257,3101,Active/Regular Products,Zone B,25.0,1589806,60,35.0
23198,475,3342,6.8907216494845365,2983,Active/Regular Products,Zone B,25.0,1587450,60,35.0
22568,470,3373,7.13107822410148,3099,Active/Regular Products,Zone B,25.0,1585310,60,35.0
23439,397,3986,9.674757281553399,2642,Active/Regular Products,Zone B,25.0,1582442,60,35.0
22027,362,4368,12.0,3113,Active/Regular Products,Zone B,25.0,1581216,60,35.0
22041,361,4374,11.983561643835616,3020,Active/Regular Products,Zone B,25.0,1579014,60,35.0
22297,378,4164,10.872062663185378,3229,Active/Regular Products,Zone B,25.0,1573992,60,35.0
82581,405,3883,9.564039408866995,3142,Active/Regular Products,Zone B,25.0,1572615,60,35.0
