InvoiceNo,before_distance,after_distance,distance_saved,improvement_percent
536834,6,0.0,6.0,100.0
536835,1,0.0,1.0,100.0
536836,99,3.0,96.0,96.96969696969697
536837,110,9.0,101.0,91.81818181818183
536838,10,3.0,7.0,70.0
536839,65,4.0,61.0,93.84615384615384
536840,44,0.0,44.0,100.0
536841,101,0.0,101.0,100.0
536842,41,0.0,41.0,100.0
536843,6,0.0,6.0,100.0
536844,18,0.0,18.0,100.0
536845,116,0.0,116.0,100.0
536846,274,21.0,253.0,92.33576642335767
536847,39,3.0,36.0,92.3076923076923
536848,12,0.0,12.0,100.0
536849,17,0.0,17.0,100.0
536851,68,6.0,62.0,91.17647058823529
536852,19,0.0,19.0,100.0
536856,161,19.0,142.0,88.19875776397515
536857,69,2.0,67.0,97.10144927536231
536858,22,0.0,22.0,100.0
536859,80,8.0,72.0,90.0
536860,54,0.0,54.0,100.0
536861,39,0.0,39.0,100.0
536862,325,0.0,325.0,100.0
536863,158,13.0,145.0,91.77215189873418
536864,191,0.0,191.0,100.0
536865,549,21.0,528.0,96.17486338797814
536866,1,0.0,1.0,100.0
536874,259,7.0,252.0,97.2972972972973
536876,2255,57.0,2198.0,97.47228381374723
536883,8,0.0,8.0,100.0
536884,8,0.0,8.0,100.0
536885,58,0.0,58.0,100.0
536890,13,0.0,13.0,100.0
536920,31,0.0,31.0,100.0
536938,62,0.0,62.0,100.0
536943,106,1.0,105.0,99.05660377358491
536944,22,6.0,16.0,72.72727272727273
536945,225,0.0,225.0,100.0
536946,100,12.0,88.0,88.0
536947,166,6.0,160.0,96.3855421686747
536954,1,0.0,1.0,100.0
536956,54,0.0,54.0,100.0
536957,58,0.0,58.0,100.0
536960,63,1.0,62.0,98.4126984126984
536967,3,0.0,3.0,100.0
536968,4,0.0,4.0,100.0
536969,2,0.0,2.0,100.0
536970,5,0.0,5.0,100.0
536971,36,0.0,36.0,100.0
536972,60,0.0,60.0,100.0
536973,128,0.0,128.0,100.0
536974,50,0.0,50.0,100.0
536975,281,6.0,275.0,97.86476868327402
536976,69,2.0,67.0,97.10144927536231
536977,58,6.0,52.0,89.65517241379311
536980,44,8.0,36.0,81.81818181818183
536981,87,0.0,87.0,100.0
536982,580,7.0,573.0,98.79310344827587
536983,26,0.0,26.0,100.0
536984,117,5.0,112.0,95.72649572649573
536985,49,0.0,49.0,100.0
536986,23,0.0,23.0,100.0
536987,215,2.0,213.0,99.06976744186046
536988,144,1.0,143.0,99.30555555555556
536989,100,0.0,100.0,100.0
536990,22,6.0,16.0,72.72727272727273
536991,24,4.0,20.0,83.33333333333334
536992,5,0.0,5.0,100.0
536993,125,8.0,117.0,93.60000000000001
536994,11,0.0,11.0,100.0
537022,91,0.0,91.0,100.0
537023,95,4.0,91.0,95.78947368421052
537025,57,10.0,47.0,82.45614035087719
537026,37,0.0,37.0,100.0
537030,62,5.0,57.0,91.93548387096774
537031,32,0.0,32.0,100.0
537034,300,13.0,287.0,95.66666666666667
537035,5,0.0,5.0,100.0
537036,128,2.0,126.0,98.4375
537037,34,0.0,34.0,100.0
537038,26,1.0,25.0,96.15384615384616
537040,6,0.0,6.0,100.0
537041,99,6.0,93.0,93.93939393939394
537042,202,14.0,188.0,93.06930693069307
537044,63,2.0,61.0,96.82539682539682
537045,119,0.0,119.0,100.0
537046,53,9.0,44.0,83.01886792452831
537047,149,9.0,140.0,93.95973154362416
537048,9,0.0,9.0,100.0
537049,58,1.0,57.0,98.27586206896551
537050,190,8.0,182.0,95.78947368421052
537051,134,2.0,132.0,98.50746268656717
537052,22,6.0,16.0,72.72727272727273
537053,5,0.0,5.0,100.0
537054,149,13.0,136.0,91.2751677852349
537055,58,9.0,49.0,84.48275862068965
537057,192,5.0,187.0,97.39583333333334
537058,50,0.0,50.0,100.0
537059,84,0.0,84.0,100.0
537065,251,6.0,245.0,97.60956175298804
537067,25,0.0,25.0,100.0
537077,106,0.0,106.0,100.0
537081,95,0.0,95.0,100.0
537086,36,0.0,36.0,100.0
537090,2,0.0,2.0,100.0
537111,100,11.0,89.0,89.0
537117,2,0.0,2.0,100.0
537126,437,9.0,428.0,97.94050343249427
537127,4,2.0,2.0,50.0
537128,75,7.0,68.0,90.66666666666666
537129,70,4.0,66.0,94.28571428571428
537130,74,7.0,67.0,90.54054054054053
537131,124,5.0,119.0,95.96774193548387
537133,209,0.0,209.0,100.0
537134,42,0.0,42.0,100.0
537135,485,14.0,471.0,97.11340206185567
537136,135,6.0,129.0,95.55555555555556
537137,256,24.0,232.0,90.625
537138,126,6.0,120.0,95.23809523809523
537139,9,5.0,4.0,44.44444444444444
537140,140,2.0,138.0,98.57142857142858
537141,167,8.0,159.0,95.20958083832335
537142,63,4.0,59.0,93.65079365079364
537144,376,3.0,373.0,99.20212765957447
537153,170,11.0,159.0,93.52941176470588
537154,213,14.0,199.0,93.42723004694837
537155,122,0.0,122.0,100.0
537156,67,0.0,67.0,100.0
537158,42,0.0,42.0,100.0
537159,131,0.0,131.0,100.0
537160,92,1.0,91.0,98.91304347826086
537163,78,6.0,72.0,92.3076923076923
537176,64,0.0,64.0,100.0
537179,58,8.0,50.0,86.20689655172413
537192,220,6.0,214.0,97.27272727272728
537193,128,7.0,121.0,94.53125
537194,5,0.0,5.0,100.0
537195,118,1.0,117.0,99.15254237288136
537196,290,8.0,282.0,97.24137931034483
537197,53,0.0,53.0,100.0
537198,11,0.0,11.0,100.0
537199,123,2.0,121.0,98.3739837398374
537200,116,0.0,116.0,100.0
537201,289,20.0,269.0,93.07958477508652
537202,214,5.0,209.0,97.66355140186917
537204,126,3.0,123.0,97.61904761904762
537205,42,0.0,42.0,100.0
537206,21,0.0,21.0,100.0
537207,88,7.0,81.0,92.04545454545455
537208,203,10.0,193.0,95.07389162561576
537209,177,13.0,164.0,92.65536723163842
537210,42,15.0,27.0,64.28571428571429
537211,60,6.0,54.0,90.0
537212,111,7.0,104.0,93.69369369369369
537213,16,0.0,16.0,100.0
537214,58,8.0,50.0,86.20689655172413
537215,24,0.0,24.0,100.0
537216,65,0.0,65.0,100.0
537217,11,0.0,11.0,100.0
537218,77,0.0,77.0,100.0
537219,269,7.0,262.0,97.39776951672863
537220,0,0.0,0.0,
537221,37,0.0,37.0,100.0
537222,96,7.0,89.0,92.70833333333334
537223,44,0.0,44.0,100.0
537224,467,3.0,464.0,99.3576017130621
537225,260,1.0,259.0,99.61538461538461
537226,46,0.0,46.0,100.0
537227,77,0.0,77.0,100.0
537228,5,0.0,5.0,100.0
537229,5,0.0,5.0,100.0
537230,3,0.0,3.0,100.0
537231,76,0.0,76.0,100.0
537233,31,0.0,31.0,100.0
537235,16,0.0,16.0,100.0
537236,39,0.0,39.0,100.0
537237,2341,60.0,2281.0,97.43699273814609
537238,63,0.0,63.0,100.0
537239,49,2.0,47.0,95.91836734693877
537240,2196,57.0,2139.0,97.40437158469946
537241,67,0.0,67.0,100.0
537242,128,2.0,126.0,98.4375
537243,12,0.0,12.0,100.0
537244,37,0.0,37.0,100.0
537245,13,0.0,13.0,100.0
537246,17,6.0,11.0,64.70588235294117
537247,14,0.0,14.0,100.0
537248,16,0.0,16.0,100.0
537249,4,0.0,4.0,100.0
537250,49,0.0,49.0,100.0
537252,2,0.0,2.0,100.0
537253,67,0.0,67.0,100.0
537254,230,11.0,219.0,95.21739130434783
537255,80,4.0,76.0,95.0
537256,47,0.0,47.0,100.0
537257,40,1.0,39.0,97.5
537258,23,0.0,23.0,100.0
537262,230,4.0,226.0,98.26086956521739
537265,141,7.0,134.0,95.0354609929078
537298,32,4.0,28.0,87.5
537301,47,4.0,43.0,91.48936170212765
537312,25,0.0,25.0,100.0
537313,20,8.0,12.0,60.0
537332,54,6.0,48.0,88.88888888888889
537334,167,3.0,164.0,98.20359281437125
537335,82,15.0,67.0,81.70731707317073
537346,148,7.0,141.0,95.27027027027027
537350,49,0.0,49.0,100.0
537351,109,0.0,109.0,100.0
537354,145,10.0,135.0,93.10344827586206
537359,38,1.0,37.0,97.36842105263158
537360,7,0.0,7.0,100.0
537362,230,4.0,226.0,98.26086956521739
537365,92,0.0,92.0,100.0
537366,63,0.0,63.0,100.0
537367,5,0.0,5.0,100.0
537368,69,4.0,65.0,94.20289855072464
537369,186,0.0,186.0,100.0
537370,189,6.0,183.0,96.82539682539682
537371,61,2.0,59.0,96.72131147540983
537372,86,0.0,86.0,100.0
537374,294,0.0,294.0,100.0
537375,193,1.0,192.0,99.48186528497409
537376,68,0.0,68.0,100.0
537377,59,0.0,59.0,100.0
537378,68,13.0,55.0,80.88235294117648
537380,9,0.0,9.0,100.0
537381,101,0.0,101.0,100.0
537382,230,6.0,224.0,97.3913043478261
537384,22,1.0,21.0,95.45454545454545
537385,46,8.0,38.0,82.6086956521739
537386,4,0.0,4.0,100.0
537387,49,0.0,49.0,100.0
537388,75,12.0,63.0,84.0
537389,65,1.0,64.0,98.46153846153847
537390,40,0.0,40.0,100.0
537391,181,7.0,174.0,96.13259668508287
537392,96,16.0,80.0,83.33333333333334
537393,139,8.0,131.0,94.24460431654677
537394,16,7.0,9.0,56.25
537395,193,3.0,190.0,98.44559585492227
537396,113,8.0,105.0,92.92035398230088
537397,45,6.0,39.0,86.66666666666667
537399,176,2.0,174.0,98.86363636363636
537400,209,13.0,196.0,93.77990430622009
537403,51,0.0,51.0,100.0
537404,48,0.0,48.0,100.0
537405,196,5.0,191.0,97.44897959183673
537407,21,0.0,21.0,100.0
537409,71,0.0,71.0,100.0
537410,2,0.0,2.0,100.0
537411,14,0.0,14.0,100.0
537412,2,0.0,2.0,100.0
537415,33,7.0,26.0,78.78787878787878
537418,144,1.0,143.0,99.30555555555556
537419,50,6.0,44.0,88.0
537420,62,13.0,49.0,79.03225806451613
537421,202,0.0,202.0,100.0
537422,106,0.0,106.0,100.0
537423,23,5.0,18.0,78.26086956521739
537424,12,2.0,10.0,83.33333333333334
537428,86,7.0,79.0,91.86046511627907
537429,85,0.0,85.0,100.0
537433,12,1.0,11.0,91.66666666666666
537434,2644,60.0,2584.0,97.73071104387292
537435,56,8.0,48.0,85.71428571428571
537440,57,2.0,55.0,96.49122807017544
537441,162,1.0,161.0,99.38271604938271
537442,5,0.0,5.0,100.0
537446,99,9.0,90.0,90.9090909090909
537447,36,0.0,36.0,100.0
537448,2,0.0,2.0,100.0
537456,10,0.0,10.0,100.0
537457,68,2.0,66.0,97.05882352941177
537458,61,0.0,61.0,100.0
537459,41,4.0,37.0,90.2439024390244
537460,1,2.0,-1.0,-100.0
537461,2,0.0,2.0,100.0
537462,49,12.0,37.0,75.51020408163265
537463,155,0.0,155.0,100.0
537464,122,0.0,122.0,100.0
537465,90,4.0,86.0,95.55555555555556
537467,84,4.0,80.0,95.23809523809523
537468,81,4.0,77.0,95.06172839506173
537469,4,0.0,4.0,100.0
537470,16,8.0,8.0,50.0
537471,4,0.0,4.0,100.0
537472,26,6.0,20.0,76.92307692307693
537476,6,0.0,6.0,100.0
537484,115,14.0,101.0,87.82608695652175
537489,61,11.0,50.0,81.9672131147541
537509,4,0.0,4.0,100.0
537523,34,2.0,32.0,94.11764705882352
537534,4,0.0,4.0,100.0
537538,55,0.0,55.0,100.0
537567,122,0.0,122.0,100.0
537592,23,0.0,23.0,100.0
537593,46,0.0,46.0,100.0
537594,52,0.0,52.0,100.0
537595,79,6.0,73.0,92.40506329113924
537598,71,0.0,71.0,100.0
537599,3,0.0,3.0,100.0
537601,35,0.0,35.0,100.0
537603,55,0.0,55.0,100.0
537604,189,7.0,182.0,96.29629629629629
537605,49,5.0,44.0,89.79591836734694
537606,112,3.0,109.0,97.32142857142857
537607,53,2.0,51.0,96.22641509433963
537608,208,4.0,204.0,98.07692307692307
537609,53,4.0,49.0,92.45283018867924
537612,34,2.0,32.0,94.11764705882352
537614,121,1.0,120.0,99.17355371900827
537615,17,0.0,17.0,100.0
537616,3,0.0,3.0,100.0
537617,25,0.0,25.0,100.0
537618,61,3.0,58.0,95.08196721311475
537619,27,2.0,25.0,92.5925925925926
537620,27,0.0,27.0,100.0
537621,20,0.0,20.0,100.0
537622,106,2.0,104.0,98.11320754716981
537623,147,0.0,147.0,100.0
537624,199,6.0,193.0,96.98492462311557
537625,20,0.0,20.0,100.0
537626,141,0.0,141.0,100.0
537627,47,1.0,46.0,97.87234042553192
537628,62,0.0,62.0,100.0
537629,65,12.0,53.0,81.53846153846153
537631,5,0.0,5.0,100.0
537632,4,0.0,4.0,100.0
537633,22,0.0,22.0,100.0
537634,60,4.0,56.0,93.33333333333333
537635,6,1.0,5.0,83.33333333333334
537636,15,0.0,15.0,100.0
537637,20,0.0,20.0,100.0
537638,2399,52.0,2347.0,97.83243017924134
537640,588,7.0,581.0,98.80952380952381
537641,297,0.0,297.0,100.0
537642,493,8.0,485.0,98.37728194726166
537643,470,14.0,456.0,97.02127659574468
537645,409,14.0,395.0,96.57701711491443
537646,241,12.0,229.0,95.0207468879668
537648,92,8.0,84.0,91.30434782608695
537649,26,0.0,26.0,100.0
537650,49,9.0,40.0,81.63265306122449
537653,114,0.0,114.0,100.0
537654,86,0.0,86.0,100.0
537655,38,2.0,36.0,94.73684210526315
537657,22,4.0,18.0,81.81818181818183
537658,12,4.0,8.0,66.66666666666666
537659,36,4.0,32.0,88.88888888888889
537664,2,0.0,2.0,100.0
537665,17,0.0,17.0,100.0
537666,2161,53.0,2108.0,97.5474317445627
537667,1,0.0,1.0,100.0
537668,3,0.0,3.0,100.0
537669,36,2.0,34.0,94.44444444444444
537670,46,0.0,46.0,100.0
537671,65,0.0,65.0,100.0
537672,81,0.0,81.0,100.0
537673,35,0.0,35.0,100.0
537674,76,7.0,69.0,90.78947368421053
537675,6,0.0,6.0,100.0
537676,25,0.0,25.0,100.0
537678,33,0.0,33.0,100.0
537679,20,4.0,16.0,80.0
537680,52,0.0,52.0,100.0
537681,26,0.0,26.0,100.0
537682,20,0.0,20.0,100.0
537683,84,9.0,75.0,89.28571428571429
537685,61,0.0,61.0,100.0
537686,10,0.0,10.0,100.0
537688,59,8.0,51.0,86.4406779661017
537689,70,6.0,64.0,91.42857142857143
537690,64,0.0,64.0,100.0
537691,82,6.0,76.0,92.6829268292683
537692,199,3.0,196.0,98.49246231155779
537693,43,1.0,42.0,97.67441860465115
537694,61,7.0,54.0,88.52459016393442
537698,16,0.0,16.0,100.0
537700,15,0.0,15.0,100.0
537707,64,4.0,60.0,93.75
537738,50,0.0,50.0,100.0
537743,33,0.0,33.0,100.0
537751,11,0.0,11.0,100.0
537754,80,10.0,70.0,87.5
537755,35,2.0,33.0,94.28571428571428
537757,39,0.0,39.0,100.0
537758,52,0.0,52.0,100.0
537759,50,10.0,40.0,80.0
537760,15,0.0,15.0,100.0
537761,6,0.0,6.0,100.0
537762,102,8.0,94.0,92.15686274509804
537764,167,13.0,154.0,92.21556886227546
537765,153,5.0,148.0,96.73202614379085
537766,23,0.0,23.0,100.0
537767,2,0.0,2.0,100.0
537768,5,0.0,5.0,100.0
537769,180,13.0,167.0,92.77777777777779
537770,61,0.0,61.0,100.0
537771,30,4.0,26.0,86.66666666666667
537772,238,1.0,237.0,99.57983193277312
537773,229,13.0,216.0,94.32314410480349
537774,19,0.0,19.0,100.0
537775,196,3.0,193.0,98.46938775510205
537780,20,0.0,20.0,100.0
537781,474,5.0,469.0,98.94514767932489
537789,49,2.0,47.0,95.91836734693877
537791,3,0.0,3.0,100.0
537792,67,0.0,67.0,100.0
537793,103,4.0,99.0,96.11650485436894
537794,277,13.0,264.0,95.30685920577618
537795,62,9.0,53.0,85.48387096774194
537796,24,0.0,24.0,100.0
537799,44,0.0,44.0,100.0
537800,53,3.0,50.0,94.33962264150944
537801,19,0.0,19.0,100.0
537802,117,7.0,110.0,94.01709401709401
537803,10,0.0,10.0,100.0
537804,56,3.0,53.0,94.64285714285714
537806,42,3.0,39.0,92.85714285714286
537808,62,0.0,62.0,100.0
537809,28,0.0,28.0,100.0
537810,5,0.0,5.0,100.0
537811,1,0.0,1.0,100.0
537813,25,0.0,25.0,100.0
537815,72,0.0,72.0,100.0
537816,10,0.0,10.0,100.0
537817,25,0.0,25.0,100.0
537818,223,0.0,223.0,100.0
537819,75,0.0,75.0,100.0
537822,116,0.0,116.0,100.0
537823,2272,62.0,2210.0,97.27112676056338
537825,109,10.0,99.0,90.82568807339449
537826,73,0.0,73.0,100.0
537827,0,0.0,0.0,
537828,119,2.0,117.0,98.31932773109243
537829,76,1.0,75.0,98.68421052631578
537830,70,1.0,69.0,98.57142857142858
537831,43,9.0,34.0,79.06976744186046
537833,4,0.0,4.0,100.0
537836,3,0.0,3.0,100.0
537837,47,5.0,42.0,89.36170212765957
537839,34,0.0,34.0,100.0
537840,65,0.0,65.0,100.0
537841,3,0.0,3.0,100.0
537842,64,6.0,58.0,90.625
537843,35,2.0,33.0,94.28571428571428
537844,144,0.0,144.0,100.0
537845,14,0.0,14.0,100.0
537846,17,0.0,17.0,100.0
537847,26,8.0,18.0,69.23076923076923
537848,6,0.0,6.0,100.0
537849,7,0.0,7.0,100.0
537850,106,10.0,96.0,90.56603773584906
537851,32,0.0,32.0,100.0
537852,336,14.0,322.0,95.83333333333334
537854,27,0.0,27.0,100.0
537855,130,0.0,130.0,100.0
537858,33,0.0,33.0,100.0
537859,104,0.0,104.0,100.0
537861,21,0.0,21.0,100.0
537862,17,0.0,17.0,100.0
537863,0,0.0,0.0,
537864,50,9.0,41.0,82.0
537865,83,0.0,83.0,100.0
537866,32,2.0,30.0,93.75
537867,65,2.0,63.0,96.92307692307692
537868,285,6.0,279.0,97.89473684210527
537871,75,3.0,72.0,96.0
537879,25,2.0,23.0,92.0
537880,80,0.0,80.0,100.0
537881,55,0.0,55.0,100.0
537882,21,0.0,21.0,100.0
537883,21,0.0,21.0,100.0
537884,26,0.0,26.0,100.0
537885,65,9.0,56.0,86.15384615384616
537886,49,7.0,42.0,85.71428571428571
537887,41,8.0,33.0,80.48780487804879
537888,133,5.0,128.0,96.2406015037594
537889,111,5.0,106.0,95.4954954954955
537890,32,0.0,32.0,100.0
537891,22,7.0,15.0,68.18181818181817
537892,31,0.0,31.0,100.0
537894,59,2.0,57.0,96.61016949152543
537895,23,0.0,23.0,100.0
537896,46,0.0,46.0,100.0
537897,48,0.0,48.0,100.0
537898,98,9.0,89.0,90.81632653061224
537899,3,0.0,3.0,100.0
