order_frequency,total_quantity,avg_quantity_per_order,related_product_count,cluster,cluster_name
149,4563,30.624161073825505,1727,2,High-Volume Products
8,200,25.0,404,0,Active/Regular Products
25,660,26.4,734,2,High-Volume Products
1,25,25.0,43,1,Slow-Moving Products
2,50,25.0,89,1,Slow-Moving Products
2,7,3.5,96,1,Slow-Moving Products
2,29,14.5,145,1,Slow-Moving Products
3,15,5.0,117,1,Slow-Moving Products
2,7,3.5,133,1,Slow-Moving Products
34,60,1.7647058823529411,1687,3,Low-Movement Products
18,29,1.6111111111111112,1512,3,Low-Movement Products
45,3333,74.06666666666666,1772,2,High-Volume Products
64,3821,59.703125,2274,2,High-Volume Products
100,3048,30.48,2763,2,High-Volume Products
102,813,7.970588235294118,2771,0,Active/Regular Products
168,3068,18.261904761904763,3062,2,High-Volume Products
136,1438,10.573529411764708,2977,2,High-Volume Products
290,4991,17.21034482758621,3208,2,High-Volume Products
134,1396,10.417910447761194,3007,2,High-Volume Products
2,7,3.5,77,1,Slow-Moving Products
7,13,1.8571428571428568,487,3,Low-Movement Products
17,40,2.3529411764705883,1546,3,Low-Movement Products
59,472,8.0,2456,0,Active/Regular Products
31,3380,109.03225806451611,696,2,High-Volume Products
1,72,72.0,13,1,Slow-Moving Products
239,23020,96.31799163179916,3023,2,High-Volume Products
2,24,12.0,38,1,Slow-Moving Products
7,81,11.571428571428571,702,3,Low-Movement Products
65,323,4.969230769230769,2595,0,Active/Regular Products
85,525,6.176470588235294,2817,0,Active/Regular Products
85,420,4.941176470588236,2814,0,Active/Regular Products
97,461,4.752577319587629,2850,0,Active/Regular Products
10,44,4.4,1509,3,Low-Movement Products
94,448,4.76595744680851,2900,0,Active/Regular Products
13,535,41.15384615384615,915,2,High-Volume Products
8,155,19.375,710,0,Active/Regular Products
47,2391,50.87234042553192,1171,2,High-Volume Products
1,6,6.0,18,1,Slow-Moving Products
34,1525,44.85294117647059,2122,2,High-Volume Products
7,200,28.571428571428573,256,1,Slow-Moving Products
8,225,28.125,224,1,Slow-Moving Products
101,1264,12.514851485148515,2877,2,High-Volume Products
39,423,10.846153846153848,2388,0,Active/Regular Products
27,4032,149.33333333333334,971,2,High-Volume Products
10,109,10.9,291,3,Low-Movement Products
12,29,2.4166666666666665,404,3,Low-Movement Products
25,171,6.84,636,0,Active/Regular Products
95,2084,21.93684210526316,2148,2,High-Volume Products
24,2545,106.04166666666669,1669,2,High-Volume Products
46,170,3.695652173913044,1437,0,Active/Regular Products
5,61,12.2,277,1,Slow-Moving Products
57,588,10.31578947368421,2538,0,Active/Regular Products
17,352,20.705882352941178,489,2,High-Volume Products
9,27,3.0,300,3,Low-Movement Products
7,27,3.857142857142857,300,3,Low-Movement Products
3,9,3.0,193,1,Slow-Moving Products
2,4,2.0,33,1,Slow-Moving Products
30,5884,196.13333333333333,1917,2,High-Volume Products
42,192,4.571428571428571,2099,0,Active/Regular Products
4,5,1.25,205,1,Slow-Moving Products
69,695,10.07246376811594,2444,0,Active/Regular Products
49,213,4.346938775510204,1987,0,Active/Regular Products
12,52,4.333333333333333,394,3,Low-Movement Products
95,309,3.2526315789473683,2772,0,Active/Regular Products
71,194,2.732394366197183,2709,0,Active/Regular Products
43,93,2.1627906976744184,2307,0,Active/Regular Products
76,148,1.947368421052632,2526,0,Active/Regular Products
99,262,2.646464646464646,2764,0,Active/Regular Products
51,185,3.627450980392157,2546,0,Active/Regular Products
78,265,3.3974358974358974,2729,0,Active/Regular Products
33,73,2.212121212121212,2340,3,Low-Movement Products
49,152,3.1020408163265305,2591,0,Active/Regular Products
99,197,1.9898989898989896,2748,0,Active/Regular Products
33,73,2.212121212121212,1880,3,Low-Movement Products
105,433,4.123809523809523,2415,0,Active/Regular Products
62,158,2.548387096774193,2693,0,Active/Regular Products
33,44,1.3333333333333333,2181,3,Low-Movement Products
20,31,1.55,1911,3,Low-Movement Products
20,25,1.25,2024,3,Low-Movement Products
18,32,1.7777777777777777,1540,3,Low-Movement Products
156,461,2.9551282051282053,3043,0,Active/Regular Products
17,30,1.7647058823529411,1584,3,Low-Movement Products
16,20,1.25,1476,3,Low-Movement Products
215,12883,59.92093023255814,2935,2,High-Volume Products
96,304,3.1666666666666665,2899,0,Active/Regular Products
11,14,1.2727272727272727,1246,3,Low-Movement Products
2,10,5.0,98,1,Slow-Moving Products
205,1563,7.624390243902439,2769,2,High-Volume Products
322,3120,9.68944099378882,2882,2,High-Volume Products
448,5023,11.212053571428571,3144,2,High-Volume Products
333,3674,11.033033033033034,2944,2,High-Volume Products
1,4,4.0,119,1,Slow-Moving Products
326,1710,5.245398773006135,2924,0,Active/Regular Products
46,140,3.0434782608695654,1658,0,Active/Regular Products
237,1235,5.210970464135021,2996,0,Active/Regular Products
35,80,2.2857142857142856,1574,3,Low-Movement Products
696,4088,5.873563218390805,3254,2,High-Volume Products
77,267,3.467532467532468,2431,0,Active/Regular Products
16,43,2.6875,1372,3,Low-Movement Products
4,5,1.25,213,1,Slow-Moving Products
30,54,1.8,2323,3,Low-Movement Products
11,19,1.7272727272727273,625,3,Low-Movement Products
8,17,2.125,499,3,Low-Movement Products
41,97,2.365853658536585,2121,0,Active/Regular Products
54,73,1.351851851851852,2350,3,Low-Movement Products
18,25,1.3888888888888888,1562,3,Low-Movement Products
42,134,3.1904761904761907,1235,0,Active/Regular Products
1,1,1.0,34,1,Slow-Moving Products
44,216,4.909090909090909,1758,0,Active/Regular Products
28,143,5.107142857142857,930,0,Active/Regular Products
149,464,3.114093959731544,2780,0,Active/Regular Products
522,5007,9.591954022988508,3169,2,High-Volume Products
863,9773,11.324449594438008,3327,2,High-Volume Products
657,11429,17.395738203957382,3276,2,High-Volume Products
73,400,5.47945205479452,2171,0,Active/Regular Products
412,2855,6.929611650485437,3248,2,High-Volume Products
575,4769,8.29391304347826,3293,2,High-Volume Products
833,13290,15.95438175270108,3318,2,High-Volume Products
722,9793,13.56371191135734,3320,2,High-Volume Products
1032,17761,17.210271317829456,3390,2,High-Volume Products
1565,19432,12.416613418530352,3469,2,High-Volume Products
1017,9909,9.743362831858407,3339,2,High-Volume Products
1273,12195,9.57973291437549,3438,2,High-Volume Products
1150,11786,10.248695652173913,3329,2,High-Volume Products
16,92,5.75,926,3,Low-Movement Products
205,1234,6.019512195121951,3134,0,Active/Regular Products
26,158,6.076923076923077,221,3,Low-Movement Products
112,623,5.5625,2569,0,Active/Regular Products
34,57,1.6764705882352942,930,3,Low-Movement Products
383,1762,4.600522193211488,2721,0,Active/Regular Products
385,1747,4.537662337662337,2649,0,Active/Regular Products
198,971,4.904040404040404,2893,0,Active/Regular Products
148,407,2.75,2747,0,Active/Regular Products
304,1457,4.792763157894737,3081,0,Active/Regular Products
62,306,4.935483870967742,2277,0,Active/Regular Products
22,63,2.863636363636364,822,3,Low-Movement Products
33,158,4.787878787878788,1370,0,Active/Regular Products
42,159,3.7857142857142856,1301,0,Active/Regular Products
20,64,3.2,834,3,Low-Movement Products
21,69,3.2857142857142856,857,3,Low-Movement Products
63,120,1.9047619047619049,2288,0,Active/Regular Products
56,106,1.8928571428571428,2164,0,Active/Regular Products
27,73,2.703703703703704,1559,3,Low-Movement Products
76,142,1.868421052631579,2584,0,Active/Regular Products
59,102,1.728813559322034,1971,0,Active/Regular Products
57,122,2.1403508771929824,2285,0,Active/Regular Products
79,250,3.1645569620253164,2564,0,Active/Regular Products
55,176,3.2,2152,0,Active/Regular Products
34,80,2.3529411764705883,1984,3,Low-Movement Products
72,184,2.555555555555556,2629,0,Active/Regular Products
40,102,2.55,2151,0,Active/Regular Products
65,247,3.8,2411,0,Active/Regular Products
23,56,2.4347826086956523,963,3,Low-Movement Products
44,86,1.9545454545454544,1888,3,Low-Movement Products
63,134,2.126984126984127,2580,0,Active/Regular Products
80,169,2.1125,2643,0,Active/Regular Products
8,15,1.875,369,3,Low-Movement Products
28,47,1.6785714285714286,2051,3,Low-Movement Products
25,35,1.4,1554,3,Low-Movement Products
27,53,1.962962962962963,2147,3,Low-Movement Products
5,14,2.8,223,1,Slow-Moving Products
4,8,2.0,109,1,Slow-Moving Products
27,99,3.6666666666666665,2115,0,Active/Regular Products
11,49,4.454545454545454,1237,3,Low-Movement Products
9,62,6.888888888888889,1371,3,Low-Movement Products
5,36,7.2,250,1,Slow-Moving Products
81,1013,12.506172839506172,2101,2,High-Volume Products
63,739,11.73015873015873,2000,2,High-Volume Products
40,939,23.475,1629,2,High-Volume Products
2,8,4.0,29,1,Slow-Moving Products
5,15,3.0,978,3,Low-Movement Products
27,64,2.3703703703703702,2108,3,Low-Movement Products
2,5,2.5,92,1,Slow-Moving Products
6,17,2.833333333333333,128,1,Slow-Moving Products
8,164,20.5,178,1,Slow-Moving Products
8,276,34.5,220,1,Slow-Moving Products
2,88,44.0,64,1,Slow-Moving Products
241,1128,4.680497925311204,2954,0,Active/Regular Products
194,1314,6.77319587628866,2804,0,Active/Regular Products
37,136,3.675675675675676,1981,0,Active/Regular Products
39,216,5.538461538461538,1838,0,Active/Regular Products
82,1067,13.01219512195122,2420,2,High-Volume Products
8,67,8.375,693,3,Low-Movement Products
17,170,10.0,445,3,Low-Movement Products
15,141,9.4,594,3,Low-Movement Products
57,385,6.754385964912281,2216,0,Active/Regular Products
105,575,5.476190476190476,2741,0,Active/Regular Products
74,533,7.202702702702703,2433,0,Active/Regular Products
11,19,1.7272727272727273,379,3,Low-Movement Products
88,716,8.136363636363637,2654,0,Active/Regular Products
18,52,2.888888888888889,1620,3,Low-Movement Products
8,21,2.625,483,3,Low-Movement Products
7,9,1.2857142857142858,240,1,Slow-Moving Products
41,242,5.902439024390244,1911,0,Active/Regular Products
61,216,3.540983606557377,2333,0,Active/Regular Products
8,32,4.0,324,3,Low-Movement Products
1,1,1.0,15,1,Slow-Moving Products
2,2,1.0,128,1,Slow-Moving Products
90,597,6.633333333333334,2804,0,Active/Regular Products
62,331,5.338709677419355,2507,0,Active/Regular Products
46,458,9.956521739130435,2225,0,Active/Regular Products
29,180,6.206896551724138,1987,0,Active/Regular Products
1,2,2.0,56,1,Slow-Moving Products
7,24,3.4285714285714284,355,3,Low-Movement Products
103,485,4.70873786407767,2226,0,Active/Regular Products
3,4,1.3333333333333333,684,3,Low-Movement Products
26,268,10.307692307692308,1615,0,Active/Regular Products
15,33,2.2,989,3,Low-Movement Products
24,107,4.458333333333333,1937,0,Active/Regular Products
13,38,2.923076923076923,1318,3,Low-Movement Products
15,19,1.2666666666666666,1355,3,Low-Movement Products
56,112,2.0,2449,0,Active/Regular Products
56,82,1.4642857142857142,2313,3,Low-Movement Products
2,3,1.5,165,1,Slow-Moving Products
3,8,2.6666666666666665,119,1,Slow-Moving Products
880,6361,7.228409090909091,3333,2,High-Volume Products
68,299,4.397058823529412,2641,0,Active/Regular Products
35,204,5.828571428571428,2150,0,Active/Regular Products
9,23,2.555555555555556,493,3,Low-Movement Products
32,68,2.125,1504,3,Low-Movement Products
4,6,1.5,199,1,Slow-Moving Products
34,100,2.9411764705882355,2074,0,Active/Regular Products
19,64,3.3684210526315788,662,3,Low-Movement Products
2,2,1.0,764,3,Low-Movement Products
101,822,8.138613861386139,2867,0,Active/Regular Products
10,29,2.9,214,1,Slow-Moving Products
228,1232,5.4035087719298245,3133,0,Active/Regular Products
229,1336,5.834061135371179,3151,0,Active/Regular Products
1,2,2.0,49,1,Slow-Moving Products
97,719,7.412371134020619,2274,0,Active/Regular Products
83,265,3.1927710843373496,1861,0,Active/Regular Products
305,1960,6.426229508196721,2998,2,High-Volume Products
262,1116,4.259541984732825,2807,0,Active/Regular Products
522,10993,21.059386973180075,3200,2,High-Volume Products
616,7337,11.910714285714286,3227,2,High-Volume Products
355,4497,12.667605633802816,3175,2,High-Volume Products
355,6976,19.65070422535211,3009,2,High-Volume Products
362,6633,18.323204419889503,3055,2,High-Volume Products
185,1739,9.4,2579,2,High-Volume Products
263,1795,6.82509505703422,3029,2,High-Volume Products
325,3734,11.489230769230767,3011,2,High-Volume Products
20,79,3.95,1356,3,Low-Movement Products
249,1974,7.927710843373494,2762,2,High-Volume Products
256,2151,8.40234375,2804,2,High-Volume Products
268,2737,10.212686567164178,2741,2,High-Volume Products
170,3785,22.264705882352946,2021,2,High-Volume Products
131,1179,9.0,2922,2,High-Volume Products
113,654,5.787610619469026,2763,0,Active/Regular Products
277,4425,15.974729241877256,2906,2,High-Volume Products
225,3191,14.182222222222222,2930,2,High-Volume Products
34,59,1.7352941176470589,2337,3,Low-Movement Products
69,185,2.681159420289855,2469,0,Active/Regular Products
52,96,1.8461538461538465,2693,0,Active/Regular Products
50,73,1.46,2649,3,Low-Movement Products
66,125,1.893939393939394,2384,0,Active/Regular Products
46,78,1.6956521739130437,2337,3,Low-Movement Products
1,1,1.0,21,1,Slow-Moving Products
3,20,6.666666666666667,131,1,Slow-Moving Products
199,1169,5.874371859296482,3092,0,Active/Regular Products
119,1385,11.638655462184872,2831,2,High-Volume Products
142,1483,10.443661971830986,2978,2,High-Volume Products
6,24,4.0,265,1,Slow-Moving Products
56,174,3.107142857142857,2615,0,Active/Regular Products
68,255,3.75,2736,0,Active/Regular Products
42,167,3.976190476190476,1992,0,Active/Regular Products
58,187,3.2241379310344827,2565,0,Active/Regular Products
33,131,3.9696969696969697,1851,0,Active/Regular Products
19,52,2.736842105263158,1743,3,Low-Movement Products
30,97,3.2333333333333334,2110,0,Active/Regular Products
300,1932,6.44,2863,2,High-Volume Products
871,1878,2.156142365097589,3050,0,Active/Regular Products
394,2599,6.596446700507614,3200,2,High-Volume Products
23,77,3.347826086956522,704,3,Low-Movement Products
90,523,5.811111111111111,2287,0,Active/Regular Products
8,22,2.75,428,3,Low-Movement Products
255,914,3.584313725490196,2852,0,Active/Regular Products
131,334,2.549618320610687,2429,0,Active/Regular Products
90,492,5.466666666666667,2205,0,Active/Regular Products
51,192,3.764705882352941,2118,0,Active/Regular Products
29,70,2.413793103448276,942,3,Low-Movement Products
105,178,1.6952380952380952,2634,0,Active/Regular Products
72,184,2.555555555555556,2023,0,Active/Regular Products
122,1154,9.459016393442624,2703,2,High-Volume Products
94,611,6.5,2358,0,Active/Regular Products
71,405,5.704225352112676,2381,0,Active/Regular Products
83,488,5.879518072289157,2163,0,Active/Regular Products
74,538,7.27027027027027,2010,0,Active/Regular Products
102,528,5.176470588235294,2465,0,Active/Regular Products
101,296,2.93069306930693,2690,0,Active/Regular Products
90,562,6.2444444444444445,2780,0,Active/Regular Products
54,702,13.0,2175,2,High-Volume Products
76,317,4.171052631578948,2411,0,Active/Regular Products
198,1638,8.272727272727273,2941,2,High-Volume Products
86,1949,22.662790697674417,2369,2,High-Volume Products
107,1106,10.336448598130842,2695,2,High-Volume Products
177,991,5.598870056497175,2954,0,Active/Regular Products
313,2769,8.84664536741214,2921,2,High-Volume Products
986,13202,13.389452332657202,3372,2,High-Volume Products
25,88,3.52,190,3,Low-Movement Products
181,2610,14.41988950276243,2786,2,High-Volume Products
428,7121,16.63785046728972,3042,2,High-Volume Products
16,141,8.8125,971,0,Active/Regular Products
103,1678,16.29126213592233,2414,2,High-Volume Products
25,233,9.32,725,0,Active/Regular Products
217,2413,11.119815668202763,2962,2,High-Volume Products
527,8758,16.618595825426944,3168,2,High-Volume Products
14,125,8.928571428571429,698,3,Low-Movement Products
105,1259,11.99047619047619,2517,2,High-Volume Products
248,3719,14.995967741935484,3130,2,High-Volume Products
27,65,2.4074074074074074,615,3,Low-Movement Products
53,237,4.471698113207547,2325,0,Active/Regular Products
97,901,9.288659793814434,2706,2,High-Volume Products
262,10241,39.08778625954199,3091,2,High-Volume Products
112,936,8.357142857142858,2673,0,Active/Regular Products
134,1105,8.246268656716419,2674,2,High-Volume Products
94,900,9.574468085106384,2651,2,High-Volume Products
82,1359,16.573170731707318,2581,2,High-Volume Products
138,1341,9.717391304347826,2455,2,High-Volume Products
162,562,3.469135802469136,2677,0,Active/Regular Products
251,695,2.768924302788845,3058,0,Active/Regular Products
14,109,7.785714285714286,454,3,Low-Movement Products
1,1,1.0,647,3,Low-Movement Products
379,6606,17.430079155672825,2940,2,High-Volume Products
344,5325,15.479651162790695,3010,2,High-Volume Products
154,1143,7.422077922077922,2824,0,Active/Regular Products
240,4011,16.7125,2579,2,High-Volume Products
103,657,6.378640776699029,2680,0,Active/Regular Products
126,592,4.698412698412699,2821,0,Active/Regular Products
36,68,1.8888888888888888,2246,3,Low-Movement Products
27,52,1.9259259259259256,1527,3,Low-Movement Products
28,106,3.7857142857142856,1912,0,Active/Regular Products
22,44,2.0,1464,3,Low-Movement Products
177,2869,16.2090395480226,2608,2,High-Volume Products
370,4687,12.667567567567568,2837,2,High-Volume Products
375,11651,31.069333333333333,3006,2,High-Volume Products
36,327,9.083333333333334,1698,0,Active/Regular Products
2,5,2.5,164,1,Slow-Moving Products
8,122,15.25,352,3,Low-Movement Products
76,203,2.671052631578948,2796,0,Active/Regular Products
451,4034,8.944567627494457,3302,2,High-Volume Products
485,3155,6.505154639175258,3005,2,High-Volume Products
358,3170,8.854748603351956,2934,2,High-Volume Products
34,78,2.294117647058824,860,3,Low-Movement Products
170,1469,8.641176470588235,2888,2,High-Volume Products
124,1126,9.080645161290322,2574,2,High-Volume Products
1,1,1.0,56,1,Slow-Moving Products
43,143,3.3255813953488373,1771,0,Active/Regular Products
162,1462,9.024691358024691,2796,2,High-Volume Products
127,1196,9.417322834645669,2596,2,High-Volume Products
282,1766,6.26241134751773,3073,2,High-Volume Products
449,4154,9.251670378619156,3309,2,High-Volume Products
723,10324,14.27939142461964,3344,2,High-Volume Products
67,1432,21.37313432835821,2618,2,High-Volume Products
450,4413,9.806666666666668,3145,2,High-Volume Products
73,438,6.0,2131,0,Active/Regular Products
467,3485,7.462526766595289,3081,2,High-Volume Products
538,4175,7.760223048327138,3360,2,High-Volume Products
809,12207,15.088998763906057,3396,2,High-Volume Products
266,1940,7.293233082706767,2864,2,High-Volume Products
845,12274,14.52544378698225,3362,2,High-Volume Products
1,2,2.0,56,1,Slow-Moving Products
48,369,7.6875,2007,0,Active/Regular Products
50,326,6.52,1944,0,Active/Regular Products
72,355,4.930555555555555,2713,0,Active/Regular Products
7,168,24.0,229,1,Slow-Moving Products
95,562,5.91578947368421,2825,0,Active/Regular Products
88,1092,12.409090909090908,2711,2,High-Volume Products
65,498,7.661538461538462,2231,0,Active/Regular Products
80,693,8.6625,2356,0,Active/Regular Products
13,108,8.307692307692308,887,3,Low-Movement Products
27,284,10.51851851851852,2050,0,Active/Regular Products
71,1028,14.47887323943662,2149,2,High-Volume Products
78,966,12.384615384615383,2279,2,High-Volume Products
75,1119,14.92,2495,2,High-Volume Products
101,1240,12.277227722772276,2506,2,High-Volume Products
25,474,18.96,925,2,High-Volume Products
85,499,5.870588235294117,2504,0,Active/Regular Products
68,253,3.7205882352941178,2185,0,Active/Regular Products
109,1290,11.8348623853211,2479,2,High-Volume Products
132,1067,8.083333333333334,2736,2,High-Volume Products
83,940,11.325301204819278,2277,2,High-Volume Products
89,1224,13.752808988764045,2391,2,High-Volume Products
453,5808,12.821192052980132,3173,2,High-Volume Products
103,883,8.572815533980583,2426,0,Active/Regular Products
1320,36396,27.572727272727278,3438,2,High-Volume Products
663,15169,22.879336349924586,3267,2,High-Volume Products
124,1087,8.766129032258064,2602,2,High-Volume Products
430,2128,4.948837209302326,3137,2,High-Volume Products
344,1088,3.1627906976744184,3003,0,Active/Regular Products
394,2433,6.175126903553299,3032,2,High-Volume Products
89,448,5.033707865168539,2764,0,Active/Regular Products
89,338,3.797752808988764,2862,0,Active/Regular Products
54,261,4.833333333333333,2506,0,Active/Regular Products
73,265,3.6301369863013697,2711,0,Active/Regular Products
165,914,5.539393939393939,2996,0,Active/Regular Products
20,93,4.65,1666,3,Low-Movement Products
2,5,2.5,92,1,Slow-Moving Products
509,6054,11.893909626719058,3252,2,High-Volume Products
831,11842,14.250300842358604,3436,2,High-Volume Products
387,3969,10.255813953488373,2895,2,High-Volume Products
307,3016,9.824104234527688,2858,2,High-Volume Products
325,3570,10.984615384615385,2788,2,High-Volume Products
304,3373,11.095394736842104,2813,2,High-Volume Products
210,2285,10.88095238095238,2515,2,High-Volume Products
196,2282,11.642857142857142,2201,2,High-Volume Products
128,1075,8.3984375,2371,2,High-Volume Products
96,286,2.9791666666666665,2343,0,Active/Regular Products
66,205,3.106060606060606,2383,0,Active/Regular Products
119,724,6.084033613445378,2822,0,Active/Regular Products
20,95,4.75,1225,3,Low-Movement Products
46,182,3.9565217391304346,2084,0,Active/Regular Products
62,134,2.161290322580645,2410,0,Active/Regular Products
261,688,2.636015325670498,2989,0,Active/Regular Products
163,532,3.263803680981595,2968,0,Active/Regular Products
285,1179,4.136842105263158,2863,0,Active/Regular Products
166,1161,6.993975903614458,2582,0,Active/Regular Products
45,187,4.155555555555556,2230,0,Active/Regular Products
78,332,4.256410256410256,2530,0,Active/Regular Products
42,167,3.976190476190476,1893,0,Active/Regular Products
48,283,5.895833333333333,1890,0,Active/Regular Products
19,131,6.894736842105263,1186,0,Active/Regular Products
1,2,2.0,95,1,Slow-Moving Products
19,29,1.5263157894736843,1089,3,Low-Movement Products
36,50,1.3888888888888888,1865,3,Low-Movement Products
103,548,5.320388349514563,2473,0,Active/Regular Products
12,13,1.0833333333333333,1025,3,Low-Movement Products
22,26,1.181818181818182,762,3,Low-Movement Products
7,31,4.428571428571429,371,3,Low-Movement Products
29,85,2.931034482758621,2084,3,Low-Movement Products
12,65,5.416666666666667,514,3,Low-Movement Products
14,43,3.071428571428572,1578,3,Low-Movement Products
42,403,9.595238095238097,2247,0,Active/Regular Products
43,365,8.488372093023257,2040,0,Active/Regular Products
30,273,9.1,2130,0,Active/Regular Products
55,1790,32.54545454545455,1343,2,High-Volume Products
110,355,3.227272727272727,2903,0,Active/Regular Products
49,567,11.571428571428571,2205,0,Active/Regular Products
52,943,18.134615384615383,2048,2,High-Volume Products
28,867,30.964285714285715,938,2,High-Volume Products
24,116,4.833333333333333,1874,0,Active/Regular Products
71,1618,22.7887323943662,1908,2,High-Volume Products
44,494,11.227272727272728,1884,0,Active/Regular Products
13,79,6.076923076923077,514,3,Low-Movement Products
1,1,1.0,1,1,Slow-Moving Products
51,459,9.0,1609,0,Active/Regular Products
214,3321,15.518691588785046,3072,2,High-Volume Products
541,4246,7.848428835489834,3285,2,High-Volume Products
15,159,10.6,1253,0,Active/Regular Products
34,111,3.264705882352941,1791,0,Active/Regular Products
49,694,14.16326530612245,1723,2,High-Volume Products
19,161,8.473684210526315,1469,0,Active/Regular Products
19,197,10.36842105263158,1117,0,Active/Regular Products
28,81,2.892857142857143,1449,3,Low-Movement Products
340,10535,30.985294117647054,3028,2,High-Volume Products
252,864,3.4285714285714284,3030,0,Active/Regular Products
346,1337,3.864161849710983,3254,0,Active/Regular Products
287,941,3.278745644599303,3074,0,Active/Regular Products
8,12,1.5,696,3,Low-Movement Products
13,19,1.4615384615384617,794,3,Low-Movement Products
16,56,3.5,835,3,Low-Movement Products
10,27,2.7,1148,3,Low-Movement Products
290,975,3.362068965517241,2773,0,Active/Regular Products
6,15,2.5,319,3,Low-Movement Products
6,140,23.33333333333333,452,3,Low-Movement Products
11,18,1.6363636363636365,1176,3,Low-Movement Products
34,104,3.0588235294117645,1457,3,Low-Movement Products
77,378,4.909090909090909,2654,0,Active/Regular Products
95,799,8.410526315789474,2432,0,Active/Regular Products
120,789,6.575,2425,0,Active/Regular Products
151,642,4.251655629139073,3033,0,Active/Regular Products
10,19,1.9,456,3,Low-Movement Products
108,411,3.8055555555555554,2753,0,Active/Regular Products
29,129,4.448275862068965,1190,0,Active/Regular Products
16,39,2.4375,673,3,Low-Movement Products
69,106,1.536231884057971,1938,0,Active/Regular Products
125,243,1.944,2252,0,Active/Regular Products
24,30,1.25,1154,3,Low-Movement Products
52,363,6.980769230769231,1991,0,Active/Regular Products
46,89,1.934782608695652,2561,0,Active/Regular Products
43,171,3.976744186046512,2112,0,Active/Regular Products
33,163,4.9393939393939394,1278,0,Active/Regular Products
16,101,6.3125,1179,3,Low-Movement Products
9,16,1.7777777777777777,1209,3,Low-Movement Products
38,287,7.552631578947368,1514,0,Active/Regular Products
33,75,2.272727272727273,1799,3,Low-Movement Products
47,512,10.893617021276595,1039,0,Active/Regular Products
46,304,6.608695652173913,1640,0,Active/Regular Products
27,41,1.5185185185185186,1994,3,Low-Movement Products
17,33,1.9411764705882355,1403,3,Low-Movement Products
41,121,2.951219512195122,2471,0,Active/Regular Products
34,142,4.176470588235294,2330,0,Active/Regular Products
50,178,3.56,2595,0,Active/Regular Products
290,2165,7.4655172413793105,2877,2,High-Volume Products
224,1811,8.084821428571429,2999,2,High-Volume Products
128,1143,8.9296875,2578,2,High-Volume Products
167,991,5.934131736526946,2988,0,Active/Regular Products
317,3883,12.249211356466876,3174,2,High-Volume Products
51,709,13.901960784313726,1546,2,High-Volume Products
128,1113,8.6953125,2606,2,High-Volume Products
212,3903,18.410377358490567,2844,2,High-Volume Products
